District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Area and size class of locality,Indicators,Value
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  3,000 - 3,999",Number of localities,15
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  3,000 - 3,999",Number of household,12385
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  3,000 - 3,999",Male,22843
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  3,000 - 3,999",Female,30305
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  4,000 - 4,999",Number of localities,10
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  4,000 - 4,999",Number of household,10019
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  4,000 - 4,999",Male,18813
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  4,000 - 4,999",Female,25166
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  5,000 - 9,999",Number of localities,15
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  5,000 - 9,999",Number of household,20936
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  5,000 - 9,999",Male,42544
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  5,000 - 9,999",Female,53705
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  20,000 - 49,999",Number of localities,1
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  20,000 - 49,999",Number of household,7859
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  20,000 - 49,999",Male,14710
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,"  20,000 - 49,999",Female,16053
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  1,000 - 1,999",Number of localities,3
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  1,000 - 1,999",Number of household,1014
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  1,000 - 1,999",Male,2207
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  1,000 - 1,999",Female,2798
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Number of localities,14
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Number of household,6745
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Male,16679
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Female,19719
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Number of localities,17
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Number of household,10551
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Male,27392
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Female,31992
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Number of localities,21
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Number of household,15896
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Male,42918
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Female,48133
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Number of localities,7
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Number of household,7190
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Male,19916
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Female,21717
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  10,000 - 19,999",Number of localities,1
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  10,000 - 19,999",Number of household,3795
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  10,000 - 19,999",Male,8295
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,"  10,000 - 19,999",Female,9132
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,"  1,000 - 1,999",Number of localities,3
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,"  1,000 - 1,999",Number of household,1075
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,"  1,000 - 1,999",Male,2604
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,"  1,000 - 1,999",Female,3123
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Number of localities,10
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Number of household,4692
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Male,12064
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Female,13521
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Number of localities,11
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Number of household,6607
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Male,17700
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Female,20073
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Number of localities,11
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Number of household,8677
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Male,23649
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Female,26228
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Number of localities,12
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Number of household,12735
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Male,36777
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Female,39420
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Number of localities,4
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Number of household,1957
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Male,5383
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Female,5469
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Number of localities,7
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Number of household,4381
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Male,11535
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Female,12429
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Number of localities,3
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Number of household,2365
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Male,6247
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Female,6510
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Number of localities,13
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Number of household,16205
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Male,42641
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Female,44698
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,"  3,000 - 3,999",Number of localities,2
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,"  3,000 - 3,999",Number of household,1436
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,"  3,000 - 3,999",Male,3456
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,"  3,000 - 3,999",Female,3774
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,"  4,000 - 4,999",Number of localities,3
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,"  4,000 - 4,999",Number of household,2337
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,"  4,000 - 4,999",Male,7131
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,"  4,000 - 4,999",Female,6665
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,"  5,000 - 9,999",Number of localities,32
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,"  5,000 - 9,999",Number of household,41694
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,"  5,000 - 9,999",Male,113826
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,"  5,000 - 9,999",Female,113296
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,"  10,000 - 19,999",Number of localities,6
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,"  10,000 - 19,999",Number of household,16220
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,"  10,000 - 19,999",Male,40707
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,"  10,000 - 19,999",Female,44367
