District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Area and size class of locality,Indicators,Value
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  1,000 - 1,999",Female,928
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  2,000 - 2,999",Number of localities,15
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  2,000 - 2,999",Number of household,7549
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  2,000 - 2,999",Male,18845
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  2,000 - 2,999",Female,20950
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  3,000 - 3,999",Number of localities,9
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  3,000 - 3,999",Number of household,5890
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  3,000 - 3,999",Male,15000
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  3,000 - 3,999",Female,16436
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  4,000 - 4,999",Number of localities,10
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  4,000 - 4,999",Number of household,8148
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  4,000 - 4,999",Male,21231
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  4,000 - 4,999",Female,22763
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  5,000 - 9,999",Number of localities,19
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  5,000 - 9,999",Number of household,20253
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  5,000 - 9,999",Male,54440
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  5,000 - 9,999",Female,56547
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  10,000 - 19,999",Number of localities,1
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  10,000 - 19,999",Number of household,2064
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  10,000 - 19,999",Male,5889
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  10,000 - 19,999",Female,5894
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  20,000 - 49,999",Number of localities,1
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  20,000 - 49,999",Number of household,4681
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  20,000 - 49,999",Male,10733
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,"  20,000 - 49,999",Female,11262
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,  500 - 999,Number of localities,1
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,  500 - 999,Number of household,190
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,  500 - 999,Male,454
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,  500 - 999,Female,469
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,"  4,000 - 4,999",Number of localities,1
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,"  4,000 - 4,999",Number of household,975
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,"  4,000 - 4,999",Male,1974
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,"  4,000 - 4,999",Female,2567
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,"  5,000 - 9,999",Number of localities,14
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,"  5,000 - 9,999",Number of household,21706
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,"  5,000 - 9,999",Male,47731
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,"  5,000 - 9,999",Female,56195
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,"  10,000 - 19,999",Number of localities,21
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,"  10,000 - 19,999",Number of household,57035
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,"  10,000 - 19,999",Male,133170
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,"  10,000 - 19,999",Female,150422
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,"  20,000 - 49,999",Number of localities,2
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,"  20,000 - 49,999",Number of household,8769
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,"  20,000 - 49,999",Male,20288
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,"  20,000 - 49,999",Female,21982
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,"  50,000 - 99,999",Number of localities,2
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,"  50,000 - 99,999",Number of household,27740
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,"  50,000 - 99,999",Male,57442
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,"  50,000 - 99,999",Female,59889
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,  500 - 999,Number of localities,1
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,  500 - 999,Number of household,174
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,  500 - 999,Male,259
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,  500 - 999,Female,297
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,"  1,000 - 1,999",Number of localities,5
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,"  1,000 - 1,999",Number of household,1535
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,"  1,000 - 1,999",Male,3812
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,"  1,000 - 1,999",Female,4238
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Number of localities,15
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Number of household,7207
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Male,18097
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Female,20742
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Number of localities,8
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Number of household,4869
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Male,13022
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Female,14026
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Number of localities,11
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Number of household,8706
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Male,23460
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Female,26094
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Number of localities,1
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Number of household,2127
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Male,4955
Darchula,Mahakali,Mountain,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Female,4272
Dhading,Bagmati,Hill,Central,2068/69,2011/12,"  2,000 - 2,999",Number of localities,1
Dhading,Bagmati,Hill,Central,2068/69,2011/12,"  2,000 - 2,999",Number of household,464
Dhading,Bagmati,Hill,Central,2068/69,2011/12,"  2,000 - 2,999",Male,1019
Dhading,Bagmati,Hill,Central,2068/69,2011/12,"  2,000 - 2,999",Female,1053
Dhading,Bagmati,Hill,Central,2068/69,2011/12,"  3,000 - 3,999",Number of localities,10
Dhading,Bagmati,Hill,Central,2068/69,2011/12,"  3,000 - 3,999",Number of household,8292
Dhading,Bagmati,Hill,Central,2068/69,2011/12,"  3,000 - 3,999",Male,15491
Dhading,Bagmati,Hill,Central,2068/69,2011/12,"  3,000 - 3,999",Female,19825
Dhading,Bagmati,Hill,Central,2068/69,2011/12,"  4,000 - 4,999",Number of localities,7
Dhading,Bagmati,Hill,Central,2068/69,2011/12,"  4,000 - 4,999",Number of household,7035
Dhading,Bagmati,Hill,Central,2068/69,2011/12,"  4,000 - 4,999",Male,13870
Dhading,Bagmati,Hill,Central,2068/69,2011/12,"  4,000 - 4,999",Female,17365
Dhading,Bagmati,Hill,Central,2068/69,2011/12,"  5,000 - 9,999",Number of localities,25
Dhading,Bagmati,Hill,Central,2068/69,2011/12,"  5,000 - 9,999",Number of household,38115
Dhading,Bagmati,Hill,Central,2068/69,2011/12,"  5,000 - 9,999",Male,82171
Dhading,Bagmati,Hill,Central,2068/69,2011/12,"  5,000 - 9,999",Female,93550
Dhading,Bagmati,Hill,Central,2068/69,2011/12,"  10,000 - 19,999",Number of localities,6
Dhading,Bagmati,Hill,Central,2068/69,2011/12,"  10,000 - 19,999",Number of household,14688
Dhading,Bagmati,Hill,Central,2068/69,2011/12,"  10,000 - 19,999",Male,35536
Dhading,Bagmati,Hill,Central,2068/69,2011/12,"  10,000 - 19,999",Female,35644
Dhading,Bagmati,Hill,Central,2068/69,2011/12,"  20,000 - 49,999",Number of localities,1
Dhading,Bagmati,Hill,Central,2068/69,2011/12,"  20,000 - 49,999",Number of household,5257
Dhading,Bagmati,Hill,Central,2068/69,2011/12,"  20,000 - 49,999",Male,9747
Dhading,Bagmati,Hill,Central,2068/69,2011/12,"  20,000 - 49,999",Female,10796
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,"  1,000 - 1,999",Number of localities,2
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,"  1,000 - 1,999",Number of household,826
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,"  1,000 - 1,999",Male,1602
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,"  1,000 - 1,999",Female,1821
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,"  2,000 - 2,999",Number of localities,11
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,"  2,000 - 2,999",Number of household,6645
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,"  2,000 - 2,999",Male,12913
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,"  2,000 - 2,999",Female,15527
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,"  3,000 - 3,999",Number of localities,7
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,"  3,000 - 3,999",Number of household,5835
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,"  3,000 - 3,999",Male,11822
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,"  3,000 - 3,999",Female,14013
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,"  4,000 - 4,999",Number of localities,10
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,"  4,000 - 4,999",Number of household,9832
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,"  4,000 - 4,999",Male,19991
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,"  4,000 - 4,999",Female,23421
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,"  5,000 - 9,999",Number of localities,5
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,"  5,000 - 9,999",Number of household,7279
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,"  5,000 - 9,999",Male,15988
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,"  5,000 - 9,999",Female,17950
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,"  20,000 - 49,999",Number of localities,1
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,"  20,000 - 49,999",Number of household,7220
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,"  20,000 - 49,999",Male,14199
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,"  20,000 - 49,999",Female,14165
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,"  2,000 - 2,999",Number of localities,3
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,"  2,000 - 2,999",Number of household,1611
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,"  2,000 - 2,999",Male,4079
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,"  2,000 - 2,999",Female,4384
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,"  3,000 - 3,999",Number of localities,12
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,"  3,000 - 3,999",Number of household,7943
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,"  3,000 - 3,999",Male,20901
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,"  3,000 - 3,999",Female,21650
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,"  4,000 - 4,999",Number of localities,17
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,"  4,000 - 4,999",Number of household,13614
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,"  4,000 - 4,999",Male,37315
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,"  4,000 - 4,999",Female,39033
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,"  5,000 - 9,999",Number of localities,61
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,"  5,000 - 9,999",Number of household,74872
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,"  5,000 - 9,999",Male,209709
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,"  5,000 - 9,999",Female,209920
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,"  10,000 - 19,999",Number of localities,8
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,"  10,000 - 19,999",Number of household,21014
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,"  10,000 - 19,999",Male,54053
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,"  10,000 - 19,999",Female,55287
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,"  50,000 - 99,999",Number of localities,1
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,"  50,000 - 99,999",Number of household,19195
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,"  50,000 - 99,999",Male,52481
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,"  50,000 - 99,999",Female,45965
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,"  1,000 - 1,999",Number of localities,8
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,"  1,000 - 1,999",Number of household,3041
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,"  1,000 - 1,999",Male,6047
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,"  1,000 - 1,999",Female,6583
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,"  2,000 - 2,999",Number of localities,17
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,"  2,000 - 2,999",Number of household,10173
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,"  2,000 - 2,999",Male,19814
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,"  2,000 - 2,999",Female,22656
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,"  3,000 - 3,999",Number of localities,13
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,"  3,000 - 3,999",Number of household,11219
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,"  3,000 - 3,999",Male,21487
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,"  3,000 - 3,999",Female,25097
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,"  4,000 - 4,999",Number of localities,12
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,"  4,000 - 4,999",Number of household,13258
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,"  4,000 - 4,999",Male,24751
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,"  4,000 - 4,999",Female,29090
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,"  5,000 - 9,999",Number of localities,1
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,"  5,000 - 9,999",Number of household,1905
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,"  5,000 - 9,999",Male,3666
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,"  5,000 - 9,999",Female,4029
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,"  20,000 - 49,999",Number of localities,1
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,"  20,000 - 49,999",Number of household,6092
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,"  20,000 - 49,999",Male,11238
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,"  20,000 - 49,999",Female,12099
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Less than 500,Number of localities,1
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Less than 500,Number of household,94
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Less than 500,Male,227
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Less than 500,Female,230
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,  500 - 999,Number of localities,6
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,  500 - 999,Number of household,980
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,  500 - 999,Male,2343
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,  500 - 999,Female,2440
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,"  1,000 - 1,999",Number of localities,7
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,"  1,000 - 1,999",Number of household,1960
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,"  1,000 - 1,999",Male,5073
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,"  1,000 - 1,999",Female,5158
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,"  2,000 - 2,999",Number of localities,9
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,"  2,000 - 2,999",Number of household,4454
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,"  2,000 - 2,999",Male,10595
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,"  2,000 - 2,999",Female,10634
Doti,Seti,Hill,Far-Western,2068/69,2011/12,"  1,000 - 1,999",Number of localities,2
Doti,Seti,Hill,Far-Western,2068/69,2011/12,"  1,000 - 1,999",Number of household,616
Doti,Seti,Hill,Far-Western,2068/69,2011/12,"  1,000 - 1,999",Male,1770
Doti,Seti,Hill,Far-Western,2068/69,2011/12,"  1,000 - 1,999",Female,1959
Doti,Seti,Hill,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Number of localities,14
Doti,Seti,Hill,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Number of household,7045
Doti,Seti,Hill,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Male,16251
Doti,Seti,Hill,Far-Western,2068/69,2011/12,"  2,000 - 2,999",Female,19847
Doti,Seti,Hill,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Number of localities,15
Doti,Seti,Hill,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Number of household,10012
Doti,Seti,Hill,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Male,23409
Doti,Seti,Hill,Far-Western,2068/69,2011/12,"  3,000 - 3,999",Female,28494
Doti,Seti,Hill,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Number of localities,11
Doti,Seti,Hill,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Number of household,9368
Doti,Seti,Hill,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Male,21994
Doti,Seti,Hill,Far-Western,2068/69,2011/12,"  4,000 - 4,999",Female,26385
Doti,Seti,Hill,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Number of localities,8
Doti,Seti,Hill,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Number of household,8890
Doti,Seti,Hill,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Male,20142
Doti,Seti,Hill,Far-Western,2068/69,2011/12,"  5,000 - 9,999",Female,24987
Doti,Seti,Hill,Far-Western,2068/69,2011/12,"  20,000 - 49,999",Number of localities,1
Doti,Seti,Hill,Far-Western,2068/69,2011/12,"  20,000 - 49,999",Number of household,5509
Doti,Seti,Hill,Far-Western,2068/69,2011/12,"  20,000 - 49,999",Male,13686
Doti,Seti,Hill,Far-Western,2068/69,2011/12,"  20,000 - 49,999",Female,12822
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,  500 - 999,Number of localities,5
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,  500 - 999,Number of household,1124
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,  500 - 999,Male,1848
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,  500 - 999,Female,1906
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,"  1,000 - 1,999",Number of localities,6
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,"  1,000 - 1,999",Number of household,2468
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,"  1,000 - 1,999",Male,4769
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,"  1,000 - 1,999",Female,5813
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,"  2,000 - 2,999",Number of localities,11
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,"  2,000 - 2,999",Number of household,6423
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,"  2,000 - 2,999",Male,12134
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,"  2,000 - 2,999",Female,14700
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,"  3,000 - 3,999",Number of localities,20
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,"  3,000 - 3,999",Number of household,16883
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,"  3,000 - 3,999",Male,30631
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,"  3,000 - 3,999",Female,38951
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,"  4,000 - 4,999",Number of localities,10
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,"  4,000 - 4,999",Number of household,10843
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,"  4,000 - 4,999",Male,19507
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,"  4,000 - 4,999",Female,25096
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,"  5,000 - 9,999",Number of localities,14
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,"  5,000 - 9,999",Number of household,19955
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,"  5,000 - 9,999",Male,36257
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,"  5,000 - 9,999",Female,45584
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,"  20,000 - 49,999",Number of localities,1
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,"  20,000 - 49,999",Number of household,8810
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,"  20,000 - 49,999",Male,15895
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,"  20,000 - 49,999",Female,17970
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,"  1,000 - 1,999",Number of localities,6
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,"  1,000 - 1,999",Number of household,2356
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,"  1,000 - 1,999",Male,4295
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,"  1,000 - 1,999",Female,5772
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,"  2,000 - 2,999",Number of localities,26
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,"  2,000 - 2,999",Number of household,15198
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,"  2,000 - 2,999",Male,28167
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,"  2,000 - 2,999",Female,38249
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,"  3,000 - 3,999",Number of localities,31
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,"  3,000 - 3,999",Number of household,25194
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,"  3,000 - 3,999",Male,47591
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,"  3,000 - 3,999",Female,62324
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,"  4,000 - 4,999",Number of localities,8
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,"  4,000 - 4,999",Number of household,8232
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,"  4,000 - 4,999",Male,14419
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,"  4,000 - 4,999",Female,19846
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,"  5,000 - 9,999",Number of localities,7
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,"  5,000 - 9,999",Number of household,9756
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,"  5,000 - 9,999",Male,18903
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,"  5,000 - 9,999",Female,25072
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,"  10,000 - 19,999",Number of localities,1
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,"  10,000 - 19,999",Number of household,4185
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,"  10,000 - 19,999",Male,7620
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,"  10,000 - 19,999",Female,7902
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,  500 - 999,Number of localities,3
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,  500 - 999,Number of household,515
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,  500 - 999,Male,1268
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,  500 - 999,Female,1311
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,"  1,000 - 1,999",Number of localities,14
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,"  1,000 - 1,999",Number of household,3448
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,"  1,000 - 1,999",Male,9344
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,"  1,000 - 1,999",Female,9178
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,"  2,000 - 2,999",Number of localities,6
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,"  2,000 - 2,999",Number of household,2393
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,"  2,000 - 2,999",Male,6805
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,"  2,000 - 2,999",Female,6609
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,"  3,000 - 3,999",Number of localities,2
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,"  3,000 - 3,999",Number of household,1124
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,"  3,000 - 3,999",Male,3565
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,"  3,000 - 3,999",Female,3575
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,"  4,000 - 4,999",Number of localities,2
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,"  4,000 - 4,999",Number of household,1999
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,"  4,000 - 4,999",Male,4851
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,"  4,000 - 4,999",Female,4352
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,"  2,000 - 2,999",Number of localities,4
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,"  2,000 - 2,999",Number of household,2373
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,"  2,000 - 2,999",Male,5099
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,"  2,000 - 2,999",Female,5602
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,"  3,000 - 3,999",Number of localities,10
