District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),size of person,Number
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,5 persons,7292
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,6 persons,5800
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,7 persons,3174
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,8 persons,1883
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,9 persons and more,1979
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,1 person,2842
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,2 persons,5177
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,3 persons,6631
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,4 persons,7569
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,5 persons,5980
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,6 persons,3884
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,7 persons,1768
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,8 persons,930
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,9 persons and more,938
Parsa,Narayani,Terai,Central,2068/69,2011/12,1 person,2376
Parsa,Narayani,Terai,Central,2068/69,2011/12,2 persons,5712
Parsa,Narayani,Terai,Central,2068/69,2011/12,3 persons,6927
Parsa,Narayani,Terai,Central,2068/69,2011/12,4 persons,13606
Parsa,Narayani,Terai,Central,2068/69,2011/12,5 persons,17241
Parsa,Narayani,Terai,Central,2068/69,2011/12,6 persons,16152
Parsa,Narayani,Terai,Central,2068/69,2011/12,7 persons,9740
Parsa,Narayani,Terai,Central,2068/69,2011/12,8 persons,6685
Parsa,Narayani,Terai,Central,2068/69,2011/12,9 persons and more,17097
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,1 person,2232
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,2 persons,4811
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,3 persons,7342
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,4 persons,9226
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,5 persons,8701
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,6 persons,6777
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,7 persons,3728
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,8 persons,2168
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,9 persons and more,2745
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,1 person,3105
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,2 persons,5384
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,3 persons,5851
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,4 persons,7864
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,5 persons,7635
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,6 persons,6576
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,7 persons,3427
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,8 persons,1963
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,9 persons and more,2105
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,1 person,799
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,2 persons,1358
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,3 persons,1460
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,4 persons,1741
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,5 persons,1732
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,6 persons,1335
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,7 persons,617
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,8 persons,363
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,9 persons and more,373
Rautahat,Narayani,Terai,Central,2068/69,2011/12,1 person,2013
Rautahat,Narayani,Terai,Central,2068/69,2011/12,2 persons,5842
Rautahat,Narayani,Terai,Central,2068/69,2011/12,3 persons,7050
Rautahat,Narayani,Terai,Central,2068/69,2011/12,4 persons,12843
Rautahat,Narayani,Terai,Central,2068/69,2011/12,5 persons,18709
Rautahat,Narayani,Terai,Central,2068/69,2011/12,6 persons,19079
Rautahat,Narayani,Terai,Central,2068/69,2011/12,7 persons,12615
Rautahat,Narayani,Terai,Central,2068/69,2011/12,8 persons,8625
Rautahat,Narayani,Terai,Central,2068/69,2011/12,9 persons and more,19892
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,1 person,1862
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,2 persons,3823
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,3 persons,5659
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,4 persons,7487
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,5 persons,7964
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,6 persons,7048
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,7 persons,4173
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,8 persons,2471
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,9 persons and more,3270
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,1 person,1446
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,2 persons,3682
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,3 persons,5222
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,4 persons,7598
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,5 persons,8353
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,6 persons,7374
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,7 persons,3684
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,8 persons,2181
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,9 persons and more,2316
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,1 person,5919
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,2 persons,15035
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,3 persons,23809
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,4 persons,31529
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,5 persons,27480
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,6 persons,20695
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,7 persons,11855
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,8 persons,8103
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,9 persons and more,19491
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,1 person,1691
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,2 persons,3380
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,3 persons,5243
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,4 persons,8347
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,5 persons,9273
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,6 persons,8088
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,7 persons,4296
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,8 persons,2679
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,9 persons and more,3559
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,1 person,2106
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,2 persons,3954
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,3 persons,5124
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,4 persons,6556
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,5 persons,6149
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,6 persons,5043
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,7 persons,2677
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,8 persons,1533
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,9 persons and more,1482
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,1 person,3529
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,2 persons,10022
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,3 persons,12861
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,4 persons,22950
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,5 persons,24742
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,6 persons,19683
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,7 persons,9994
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,8 persons,6142
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,9 persons and more,11175
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,1 person,3187
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,2 persons,8825
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,3 persons,11174
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,4 persons,19761
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,5 persons,26194
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,6 persons,23562
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,7 persons,14115
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,8 persons,8837
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,9 persons and more,17189
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,1 person,2289
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,2 persons,5440
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,3 persons,6965
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,4 persons,9791
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,5 persons,10473
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,6 persons,9123
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,7 persons,5463
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,8 persons,3513
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,9 persons and more,4524
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,1 person,5096
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,2 persons,9229
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,3 persons,10238
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,4 persons,13061
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,5 persons,11808
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,6 persons,8757
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,7 persons,4228
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,8 persons,2127
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,9 persons and more,2144
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,1 person,3058
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,2 persons,8538
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,3 persons,12909
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,4 persons,21189
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,5 persons,24090
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,6 persons,19468
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,7 persons,10471
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,8 persons,6415
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,9 persons and more,11824
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,1 person,1685
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,2 persons,2777
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,3 persons,3618
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,4 persons,4627
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,5 persons,4186
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,6 persons,3472
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,7 persons,1715
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,8 persons,962
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,9 persons and more,743
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,1 person,6698
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,2 persons,16712
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,3 persons,26817
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,4 persons,36146
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,5 persons,30631
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,6 persons,20652
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,7 persons,10221
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,8 persons,5779
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,9 persons and more,8751
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,1 person,2720
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,2 persons,7050
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,3 persons,10859
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,4 persons,15598
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,5 persons,14189
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,6 persons,10541
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,7 persons,5430
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,8 persons,2941
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,9 persons and more,3535
Syangja,Gandaki,Hill,Western,2068/69,2011/12,1 person,4917
Syangja,Gandaki,Hill,Western,2068/69,2011/12,2 persons,9692
Syangja,Gandaki,Hill,Western,2068/69,2011/12,3 persons,12911
Syangja,Gandaki,Hill,Western,2068/69,2011/12,4 persons,14280
Syangja,Gandaki,Hill,Western,2068/69,2011/12,5 persons,11559
Syangja,Gandaki,Hill,Western,2068/69,2011/12,6 persons,7725
Syangja,Gandaki,Hill,Western,2068/69,2011/12,7 persons,3554
Syangja,Gandaki,Hill,Western,2068/69,2011/12,8 persons,1922
Syangja,Gandaki,Hill,Western,2068/69,2011/12,9 persons and more,2321
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,1 person,5229
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,2 persons,12196
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,3 persons,16011
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,4 persons,16453
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,5 persons,12187
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,6 persons,7895
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,7 persons,3740
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,8 persons,2067
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,9 persons and more,2531
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,1 person,1419
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,2 persons,2771
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,3 persons,3793
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,4 persons,4747
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,5 persons,4649
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,6 persons,3804
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,7 persons,2381
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,8 persons,1392
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,9 persons and more,1553
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,1 person,1065
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,2 persons,2421
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,3 persons,3467
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,4 persons,4560
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,5 persons,4060
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,6 persons,3083
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,7 persons,1671
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,8 persons,888
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,9 persons and more,879
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,1 person,2638
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,2 persons,6649
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,3 persons,10258
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,4 persons,13328
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,5 persons,12292
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,6 persons,9475
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,7 persons,5362
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,8 persons,3080
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,9 persons and more,3475
