,District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Country,Gender,Value
557,Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,India,Female,78
558,Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,China,Female,0
559,Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,Others,Female,51
560,Syangja,Gandaki,Hill,Western,2068/69,2011/12,Nepal,Male,125583
561,Syangja,Gandaki,Hill,Western,2068/69,2011/12,India,Male,194
562,Syangja,Gandaki,Hill,Western,2068/69,2011/12,China,Male,0
563,Syangja,Gandaki,Hill,Western,2068/69,2011/12,Others,Male,56
564,Syangja,Gandaki,Hill,Western,2068/69,2011/12,Nepal,Female,163142
565,Syangja,Gandaki,Hill,Western,2068/69,2011/12,India,Female,94
566,Syangja,Gandaki,Hill,Western,2068/69,2011/12,China,Female,2
567,Syangja,Gandaki,Hill,Western,2068/69,2011/12,Others,Female,77
568,Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Nepal,Male,142512
569,Tanahu,Gandaki,Hill,Western,2068/69,2011/12,India,Male,857
570,Tanahu,Gandaki,Hill,Western,2068/69,2011/12,China,Male,2
571,Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Others,Male,39
572,Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Nepal,Female,179368
573,Tanahu,Gandaki,Hill,Western,2068/69,2011/12,India,Female,422
574,Tanahu,Gandaki,Hill,Western,2068/69,2011/12,China,Female,3
575,Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Others,Female,85
576,Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Nepal,Male,60496
577,Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,India,Male,16
578,Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,China,Male,2
579,Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Others,Male,38
580,Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Nepal,Female,66745
581,Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,India,Female,27
582,Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,China,Female,6
583,Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Others,Female,131
584,Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Nepal,Male,47098
585,Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,India,Male,31
586,Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,China,Male,1
587,Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Others,Male,21
588,Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Nepal,Female,54340
589,Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,India,Female,34
590,Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,China,Female,1
591,Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Others,Female,51
592,Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Nepal,Male,149499
593,Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,India,Male,173
594,Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,China,Male,1
595,Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Others,Male,39
596,Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Nepal,Female,167570
597,Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,India,Female,113
598,Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,China,Female,1
599,Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Others,Female,136
