District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Caste/Ethnicity,Gender,In number
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Chhetree,Male,66837
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Chhetree,Female,76097
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Brahman - Hill,Male,12289
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Brahman - Hill,Female,13983
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Kami,Male,11340
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Kami,Female,12933
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Damai/Dholi,Male,3714
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Damai/Dholi,Female,4355
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Thakuri,Male,3018
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Thakuri,Female,3328
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Sarki,Male,753
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Sarki,Female,909
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Magar,Male,850
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Magar,Female,771
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Lohar,Male,434
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Lohar,Female,518
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Badi,Male,374
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Badi,Female,409
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Dashnami/Sanyasi,Male,244
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Dashnami/Sanyasi,Female,263
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Bangali,Male,216
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Bangali,Female,233
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Majhi,Male,155
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Majhi,Female,167
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Tamang,Male,137
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Tamang,Female,153
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Musalman,Male,154
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Musalman,Female,103
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Tharu,Male,196
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Tharu,Female,50
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Teli,Male,114
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Teli,Female,120
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Newar,Male,69
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Newar,Female,58
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Rai,Male,46
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Rai,Female,38
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Bhote,Male,18
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Bhote,Female,23
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Gurung,Male,16
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Gurung,Female,19
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Limbu,Male,13
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Limbu,Female,14
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Brahman - Tarai,Male,18
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Brahman - Tarai,Female,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Kalwar,Male,15
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Kalwar,Female,11
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Kurmi,Male,12
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Kurmi,Female,10
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Gharti/Bhujel,Male,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Gharti/Bhujel,Female,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Hyolmo,Male,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Hyolmo,Female,10
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Gaine,Male,5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Gaine,Female,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Dhanuk,Male,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Dhanuk,Female,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Sunuwar,Male,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Sunuwar,Female,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Koiri/Kushwaha,Male,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Koiri/Kushwaha,Female,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Haluwai,Male,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Haluwai,Female,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Dev,Male,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Dev,Female,7
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Others,Male,68
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Others,Female,58
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Dalit Others,Male,18758
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Dalit Others,Female,22683
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Terai Others,Male,100
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Terai Others,Female,106
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Brahman - Hill,Male,27951
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Brahman - Hill,Female,36806
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Chhetree,Male,15512
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Chhetree,Female,20533
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Magar,Male,15834
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Magar,Female,19750
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Kami,Male,9787
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Kami,Female,12578
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Sarki,Male,5225
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Sarki,Female,6854
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Kumal,Male,3083
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Kumal,Female,3679
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Damai/Dholi,Male,2719
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Damai/Dholi,Female,3590
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Newar,Male,2361
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Newar,Female,3167
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Musalman,Male,819
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Musalman,Female,954
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Gharti/Bhujel,Male,751
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Gharti/Bhujel,Female,924
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Thakuri,Male,521
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Thakuri,Female,622
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Dashnami/Sanyasi,Male,438
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Dashnami/Sanyasi,Female,566
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Gurung,Male,421
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Gurung,Female,473
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Brahman - Tarai,Male,130
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Brahman - Tarai,Female,174
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Badi,Male,130
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Badi,Female,150
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Gaine,Male,128
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Gaine,Female,148
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Tharu,Male,174
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Tharu,Female,60
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Tamang,Male,17
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Tamang,Female,43
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Kathbaniyan,Male,23
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Kathbaniyan,Female,25
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Haluwai,Male,26
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Haluwai,Female,14
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Limbu,Male,23
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Limbu,Female,13
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Lohar,Male,12
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Lohar,Female,20
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Hajam/Thakur,Male,15
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Hajam/Thakur,Female,15
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Rai,Male,16
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Rai,Female,7
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Majhi,Male,9
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Majhi,Female,13
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Kurmi,Male,11
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Kurmi,Female,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Sunuwar,Male,6
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Sunuwar,Female,13
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Yadav,Male,5
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Yadav,Female,10
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Teli,Male,7
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Teli,Female,7
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Dusadh/Pasawan/Pasi,Male,3
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Dusadh/Pasawan/Pasi,Female,10
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Kayastha,Male,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Kayastha,Female,5
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Sonar,Male,2
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Sonar,Female,9
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Others,Male,52
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Others,Female,51
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Dalit Others,Male,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Dalit Others,Female,15
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Terai Others,Male,39
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Terai Others,Female,60
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Magar,Male,33164
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Magar,Female,42146
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Brahman - Hill,Male,23059
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Brahman - Hill,Female,29424
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Chhetree,Male,21798
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Chhetree,Female,28451
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Kami,Male,18769
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Kami,Female,24122
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Sarki,Male,6542
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Sarki,Female,8376
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Damai/Dholi,Male,5378
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Damai/Dholi,Female,7234
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Chhantyal/Chhantel,Male,1810
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Chhantyal/Chhantel,Female,2219
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Thakuri,Male,1665
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Thakuri,Female,2133
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Newar,Male,1340
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Newar,Female,1540
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Gurung,Male,860
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Gurung,Female,985
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Kumal,Male,744
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Kumal,Female,886
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Dashnami/Sanyasi,Male,497
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Dashnami/Sanyasi,Female,683
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Gharti/Bhujel,Male,375
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Gharti/Bhujel,Female,474
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Musalman,Male,376
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Musalman,Female,366
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Tamang,Male,356
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Tamang,Female,348
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Thakali,Male,272
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Thakali,Female,315
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Kayastha,Male,131
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Kayastha,Female,168
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Gaine,Male,105
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Gaine,Female,104
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Majhi,Male,82
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Majhi,Female,111
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Tharu,Male,134
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Tharu,Female,37
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Rai,Male,67
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Rai,Female,50
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Badi,Male,35
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Badi,Female,42
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Teli,Male,35
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Teli,Female,16
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Limbu,Male,26
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Limbu,Female,17
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Sonar,Male,22
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Sonar,Female,21
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Yadav,Male,23
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Yadav,Female,8
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Hajam/Thakur,Male,19
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Hajam/Thakur,Female,11
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Sunuwar,Male,9
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Sunuwar,Female,18
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Kanu,Male,23
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Kanu,Female,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Kathbaniyan,Male,14
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Kathbaniyan,Female,7
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Haluwai,Male,10
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Haluwai,Female,10
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Koiri/Kushwaha,Male,8
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Koiri/Kushwaha,Female,8
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Ghale,Male,5
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Ghale,Female,10
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Kurmi,Male,9
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Kurmi,Female,5
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Brahman - Tarai,Male,9
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Brahman - Tarai,Female,5
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Others,Male,64
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Others,Female,90
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Dalit Others,Male,89
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Dalit Others,Female,80
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Terai Others,Male,40
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Terai Others,Female,52
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Undefined Others,Male,26
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Undefined Others,Female,39
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Foreigner,Male,7
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Foreigner,Female,5
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Chhetree,Male,61792
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Chhetree,Female,69102
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Brahman - Hill,Male,21587
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Brahman - Hill,Female,24954
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Thakuri,Male,7553
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Thakuri,Female,9423
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Kami,Male,5397
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Kami,Female,6229
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Lohar,Male,5211
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Lohar,Female,5982
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Damai/Dholi,Male,2471
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Damai/Dholi,Female,2901
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Dashnami/Sanyasi,Male,1542
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Dashnami/Sanyasi,Female,2105
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Sarki,Male,1748
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Sarki,Female,1885
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Sudhi,Male,449
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Sudhi,Female,525
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Kathbaniyan,Male,461
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Kathbaniyan,Female,493
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Gurung,Male,213
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Gurung,Female,235
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Brahman - Tarai,Male,179
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Brahman - Tarai,Female,225
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Magar,Male,193
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Magar,Female,115
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Badi,Male,115
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Badi,Female,117
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Dhanuk,Male,77
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Dhanuk,Female,117
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Newar,Male,64
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Newar,Female,57
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Yakkha,Male,37
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Yakkha,Female,56
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Tharu,Male,37
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Tharu,Female,19
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Pahari,Male,24
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Pahari,Female,29
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Tamang,Male,18
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Tamang,Female,25
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Rai,Male,26
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Rai,Female,15
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Mewahang,Male,19
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Mewahang,Female,19
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Dusadh/Pasawan/Pasi,Male,12
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Dusadh/Pasawan/Pasi,Female,20
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Thami,Male,14
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Thami,Female,17
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Limbu,Male,11
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Limbu,Female,18
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Kumal,Male,18
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Kumal,Female,10
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Teli,Male,11
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Teli,Female,12
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Musalman,Male,18
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Musalman,Female,3
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Bangali,Male,6
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Bangali,Female,14
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Hajam/Thakur,Male,4
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Hajam/Thakur,Female,12
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Gharti/Bhujel,Male,7
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Gharti/Bhujel,Female,7
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Marwadi,Male,5
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Marwadi,Female,9
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Yadav,Male,4
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Yadav,Female,8
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Others,Male,21
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Others,Female,38
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Dalit Others,Male,7878
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Dalit Others,Female,8463
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Janajati Others,Male,29
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Janajati Others,Female,42
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Terai Others,Male,125
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Terai Others,Female,129
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Undefined Others,Male,28
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Undefined Others,Female,51
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Foreigner,Male,3
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Foreigner,Female,10
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Chhetree,Male,62292
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Chhetree,Female,67573
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Brahman - Hill,Male,9204
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Brahman - Hill,Female,10693
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Kami,Male,6739
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Kami,Female,7564
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Thakuri,Male,4418
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Thakuri,Female,5062
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Sarki,Male,2026
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Sarki,Female,2305
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Damai/Dholi,Male,1331
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Damai/Dholi,Female,1664
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Dashnami/Sanyasi,Male,1108
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Dashnami/Sanyasi,Female,1328
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Badi,Male,191
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Badi,Female,253
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Tamang,Male,136
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Tamang,Female,114
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Magar,Male,121
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Magar,Female,89
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Newar,Male,99
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Newar,Female,79
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Gurung,Male,76
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Gurung,Female,68
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Tharu,Male,72
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Tharu,Female,61
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Rajput,Male,41
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Rajput,Female,36
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Lohar,Male,32
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Lohar,Female,22
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Bangali,Male,23
