District,Category ,Value
Kavrepalanchok ,Population Density (person per sq.km.),274
Lalitpur ,Geographical Area (sq.km.),385
Lalitpur ,Holding Number,33616
Lalitpur ,Holding Area (ha),9300.3
Lalitpur ,Household,109797
Lalitpur ,Population,468132
Lalitpur ,Population Land Ratio ( person per ha .),50.33
Lalitpur ,Population Density (person per sq.km.),1216
Bhaktapur ,Geographical Area (sq.km.),119
Bhaktapur ,Holding Number,30631
Bhaktapur ,Holding Area (ha),5682.8
Bhaktapur ,Household,68636
Bhaktapur ,Population,304651
Bhaktapur ,Population Land Ratio ( person per ha .),53.61
Bhaktapur ,Population Density (person per sq.km.),2560
Kathmandu ,Geographical Area (sq.km.),395
Kathmandu ,Holding Number,51462
Kathmandu ,Holding Area (ha),9595.6
Kathmandu ,Household,436344
Kathmandu ,Population,1744240
Kathmandu ,Population Land Ratio ( person per ha .),181.77
Kathmandu ,Population Density (person per sq.km.),4416
Nuwakot ,Geographical Area (sq.km.),1121
Nuwakot ,Holding Number,53984
Nuwakot ,Holding Area (ha),32996.5
Nuwakot ,Household,59215
Nuwakot ,Population,277471
Nuwakot ,Population Land Ratio ( person per ha .),8.41
Nuwakot ,Population Density (person per sq.km.),248
Rasuwa ,Geographical Area (sq.km.),1544
Rasuwa ,Holding Number,8504
Rasuwa ,Holding Area (ha),4557.7
Rasuwa ,Household,9778
Rasuwa ,Population,43300
Rasuwa ,Population Land Ratio ( person per ha .),9.5
Rasuwa ,Population Density (person per sq.km.),28
Dhading ,Geographical Area (sq.km.),1926
Dhading ,Holding Number,64517
Dhading ,Holding Area (ha),35398
Dhading ,Household,73851
Dhading ,Population,336067
Dhading ,Population Land Ratio ( person per ha .),9.49
Dhading ,Population Density (person per sq.km.),174
Makwanpur ,Geographical Area (sq.km.),2426
Makwanpur ,Holding Number,67111
Makwanpur ,Holding Area (ha),31802.8
Makwanpur ,Household,86127
Makwanpur ,Population,420477
Makwanpur ,Population Land Ratio ( person per ha .),13.22
Makwanpur ,Population Density (person per sq.km.),173
Rautahat ,Geographical Area (sq.km.),1126
Rautahat ,Holding Number,79233
Rautahat ,Holding Area (ha),64834.9
Rautahat ,Household,106668
Rautahat ,Population,686722
Rautahat ,Population Land Ratio ( person per ha .),10.59
Rautahat ,Population Density (person per sq.km.),610
Bara ,Geographical Area (sq.km.),1190
Bara ,Holding Number,81292
Bara ,Holding Area (ha),56866.7
Bara ,Household,108635
Bara ,Population,687708
Bara ,Population Land Ratio ( person per ha .),12.09
Bara ,Population Density (person per sq.km.),578
Parsa ,Geographical Area (sq.km.),1353
Parsa ,Holding Number,59496
Parsa ,Holding Area (ha),48898.7
Parsa ,Household,95536
Parsa ,Population,601017
Parsa ,Population Land Ratio ( person per ha .),12.29
Parsa ,Population Density (person per sq.km.),444
Chitawan ,Geographical Area (sq.km.),2218
Chitawan ,Holding Number,88242
Chitawan ,Holding Area (ha),40631.6
Chitawan ,Household,132462
Chitawan ,Population,579984
Chitawan ,Population Land Ratio ( person per ha .),14.27
Chitawan ,Population Density (person per sq.km.),261
Gorkha ,Geographical Area (sq.km.),3610
Gorkha ,Holding Number,57671
Gorkha ,Holding Area (ha),31493.5
Gorkha ,Household,66506
Gorkha ,Population,271061
Gorkha ,Population Land Ratio ( person per ha .),8.61
Gorkha ,Population Density (person per sq.km.),75
Lamjung ,Geographical Area (sq.km.),1692
Lamjung ,Holding Number,33041
Lamjung ,Holding Area (ha),17265.8
Lamjung ,Household,42079
Lamjung ,Population,167724
Lamjung ,Population Land Ratio ( person per ha .),9.71
Lamjung ,Population Density (person per sq.km.),99
Tanahu ,Geographical Area (sq.km.),1546
Tanahu ,Holding Number,59233
Tanahu ,Holding Area (ha),29022.3
Tanahu ,Household,78309
Tanahu ,Population,323288
Tanahu ,Population Land Ratio ( person per ha .),11.14
Tanahu ,Population Density (person per sq.km.),209
Syangja ,Geographical Area (sq.km.),1164
Syangja ,Holding Number,57613
Syangja ,Holding Area (ha),29450.6
Syangja ,Household,68881
Syangja ,Population,289148
Syangja ,Population Land Ratio ( person per ha .),9.82
Syangja ,Population Density (person per sq.km.),248
Kaski ,Geographical Area (sq.km.),2017
Kaski ,Holding Number,53268
Kaski ,Holding Area (ha),23438.6
Kaski ,Household,125673
Kaski ,Population,492098
Kaski ,Population Land Ratio ( person per ha .),21
Kaski ,Population Density (person per sq.km.),244
Manang ,Geographical Area (sq.km.),2246
Manang ,Holding Number,993
Manang ,Holding Area (ha),473.6
Manang ,Household,1480
Manang ,Population,6538
Manang ,Population Land Ratio ( person per ha .),13.81
Manang ,Population Density (person per sq.km.),3
Mustang ,Geographical Area (sq.km.),3573
Mustang ,Holding Number,2420
Mustang ,Holding Area (ha),1374.8
Mustang ,Household,3354
Mustang ,Population,13452
Mustang ,Population Land Ratio ( person per ha .),9.78
Mustang ,Population Density (person per sq.km.),4
Myagdi ,Geographical Area (sq.km.),2297
Myagdi ,Holding Number,22480
Myagdi ,Holding Area (ha),12358.5
Myagdi ,Household,27762
Myagdi ,Population,113641
Myagdi ,Population Land Ratio ( person per ha .),9.2
Myagdi ,Population Density (person per sq.km.),49
Parbat ,Geographical Area (sq.km.),494
Parbat ,Holding Number,28644
Parbat ,Holding Area (ha),12598.9
Parbat ,Household,35719
Parbat ,Population,146590
Parbat ,Population Land Ratio ( person per ha .),11.64
Parbat ,Population Density (person per sq.km.),297
Baglung ,Geographical Area (sq.km.),1784
Baglung ,Holding Number,51663
Baglung ,Holding Area (ha),30686.6
Baglung ,Household,61522
Baglung ,Population,268613
Baglung ,Population Land Ratio ( person per ha .),8.75
Baglung ,Population Density (person per sq.km.),151
Gulmi ,Geographical Area (sq.km.),1149
Gulmi ,Holding Number,57705
Gulmi ,Holding Area (ha),40910.4
Gulmi ,Household,64921
Gulmi ,Population,280160
Gulmi ,Population Land Ratio ( person per ha .),6.85
Gulmi ,Population Density (person per sq.km.),244
Palpa ,Geographical Area (sq.km.),1373
Palpa ,Holding Number,48830
Palpa ,Holding Area (ha),29985.3
Palpa ,Household,59291
Palpa ,Population,261180
Palpa ,Population Land Ratio ( person per ha .),8.71
Palpa ,Population Density (person per sq.km.),190
Nawalparasi ,Geographical Area (sq.km.),2162
Nawalparasi ,Holding Number,101337
Nawalparasi ,Holding Area (ha),56125.2
Nawalparasi ,Household,128793
Nawalparasi ,Population,643508
Nawalparasi ,Population Land Ratio ( person per ha .),11.47
Nawalparasi ,Population Density (person per sq.km.),298
Rupandehi ,Geographical Area (sq.km.),1360
Rupandehi ,Holding Number,104174
Rupandehi ,Holding Area (ha),71188
Rupandehi ,Household,163916
Rupandehi ,Population,880196
Rupandehi ,Population Land Ratio ( person per ha .),12.36
Rupandehi ,Population Density (person per sq.km.),647
Kapilbastu ,Geographical Area (sq.km.),1738
Kapilbastu ,Holding Number,74770
Kapilbastu ,Holding Area (ha),64578
Kapilbastu ,Household,91321
Kapilbastu ,Population,571936
Kapilbastu ,Population Land Ratio ( person per ha .),8.86
Kapilbastu ,Population Density (person per sq.km.),329
Arghakhanchi ,Geographical Area (sq.km.),1193
Arghakhanchi ,Holding Number,43422
Arghakhanchi ,Holding Area (ha),31597.3
Arghakhanchi ,Household,46835
Arghakhanchi ,Population,197632
Arghakhanchi ,Population Land Ratio ( person per ha .),6.25
Arghakhanchi ,Population Density (person per sq.km.),166
Pyuthan ,Geographical Area (sq.km.),1309
Pyuthan ,Holding Number,44423
Pyuthan ,Holding Area (ha),25811.8
Pyuthan ,Household,47730
Pyuthan ,Population,228102
Pyuthan ,Population Land Ratio ( person per ha .),8.84
Pyuthan ,Population Density (person per sq.km.),174
Rolpa ,Geographical Area (sq.km.),1879
Rolpa ,Holding Number,40284
Rolpa ,Holding Area (ha),24853.3
Rolpa ,Household,43757
Rolpa ,Population,224506
Rolpa ,Population Land Ratio ( person per ha .),9.03
Rolpa ,Population Density (person per sq.km.),119
Rukum ,Geographical Area (sq.km.),2877
Rukum ,Holding Number,37759
Rukum ,Holding Area (ha),21375.2
Rukum ,Household,41856
Rukum ,Population,208567
Rukum ,Population Land Ratio ( person per ha .),9.76
Rukum ,Population Density (person per sq.km.),72
Salyan ,Geographical Area (sq.km.),1462
Salyan ,Holding Number,42840
Salyan ,Holding Area (ha),26684.8
Salyan ,Household,46556
Salyan ,Population,242444
Salyan ,Population Land Ratio ( person per ha .),9.09
Salyan ,Population Density (person per sq.km.),166
Dang ,Geographical Area (sq.km.),2955
Dang ,Holding Number,86623
Dang ,Holding Area (ha),61951.5
Dang ,Household,116415
Dang ,Population,552583
Dang ,Population Land Ratio ( person per ha .),8.92
Dang ,Population Density (person per sq.km.),187
Banke ,Geographical Area (sq.km.),2337
Banke ,Holding Number,61433
Banke ,Holding Area (ha),44120.1
Banke ,Household,94773
Banke ,Population,491313
Banke ,Population Land Ratio ( person per ha .),11.14
Banke ,Population Density (person per sq.km.),210
Bardiya ,Geographical Area (sq.km.),2025
Bardiya ,Holding Number,68063
Bardiya ,Holding Area (ha),47233.5
Bardiya ,Household,83176
Bardiya ,Population,426576
Bardiya ,Population Land Ratio ( person per ha .),9.03
Bardiya ,Population Density (person per sq.km.),211
Surkhet ,Geographical Area (sq.km.),2451
Surkhet ,Holding Number,56571
Surkhet ,Holding Area (ha),27241.3
Surkhet ,Household,72863
Surkhet ,Population,350804
Surkhet ,Population Land Ratio ( person per ha .),12.88
Surkhet ,Population Density (person per sq.km.),143
Dailekh ,Geographical Area (sq.km.),1502
Dailekh ,Holding Number,45079
Dailekh ,Holding Area (ha),21329.3
Dailekh ,Household,48919
Dailekh ,Population,261770
Dailekh ,Population Land Ratio ( person per ha .),12.27
Dailekh ,Population Density (person per sq.km.),174
Jajarkot ,Geographical Area (sq.km.),2230
Jajarkot ,Holding Number,28546
Jajarkot ,Holding Area (ha),16127.2
Jajarkot ,Household,30472
Jajarkot ,Population,171304
Jajarkot ,Population Land Ratio ( person per ha .),10.62
Jajarkot ,Population Density (person per sq.km.),77
Dolpa ,Geographical Area (sq.km.),7889
Dolpa ,Holding Number,6696
Dolpa ,Holding Area (ha),3733.4
Dolpa ,Household,7488
Dolpa ,Population,36700
Dolpa ,Population Land Ratio ( person per ha .),9.83
Dolpa ,Population Density (person per sq.km.),5
Jumla ,Geographical Area (sq.km.),2531
Jumla ,Holding Number,17774
Jumla ,Holding Area (ha),7010.9
Jumla ,Household,19303
Jumla ,Population,108921
Jumla ,Population Land Ratio ( person per ha .),15.54
Jumla ,Population Density (person per sq.km.),43
Kalikot ,Geographical Area (sq.km.),1741
Kalikot ,Holding Number,21528
Kalikot ,Holding Area (ha),14700.7
Kalikot ,Household,23013
Kalikot ,Population,136948
Kalikot ,Population Land Ratio ( person per ha .),9.32
Kalikot ,Population Density (person per sq.km.),79
Mugu ,Geographical Area (sq.km.),3535
Mugu ,Holding Number,9174
Mugu ,Holding Area (ha),6218.6
Mugu ,Household,9619
Mugu ,Population,55286
Mugu ,Population Land Ratio ( person per ha .),8.89
Mugu ,Population Density (person per sq.km.),16
Humla ,Geographical Area (sq.km.),5655
Humla ,Holding Number,8306
Humla ,Holding Area (ha),5232.1
Humla ,Household,9479
Humla ,Population,50858
Humla ,Population Land Ratio ( person per ha .),9.72
Humla ,Population Density (person per sq.km.),9
Bajura ,Geographical Area (sq.km.),2188
Bajura ,Holding Number,22611
Bajura ,Holding Area (ha),9413.1
Bajura ,Household,24908
Bajura ,Population,134912
Bajura ,Population Land Ratio ( person per ha .),14.33
Bajura ,Population Density (person per sq.km.),62
Bajhang ,Geographical Area (sq.km.),3422
Bajhang ,Holding Number,32446
Bajhang ,Holding Area (ha),11812.2
Bajhang ,Household,33786
Bajhang ,Population,195159
Bajhang ,Population Land Ratio ( person per ha .),16.52
Bajhang ,Population Density (person per sq.km.),57
Achham ,Geographical Area (sq.km.),1680
Achham ,Holding Number,44986
Achham ,Holding Area (ha),18488.6
Achham ,Household,48351
Achham ,Population,257477
Achham ,Population Land Ratio ( person per ha .),13.93
Achham ,Population Density (person per sq.km.),153
Doti ,Geographical Area (sq.km.),2025
Doti ,Holding Number,36840
Doti ,Holding Area (ha),16382.5
Doti ,Household,41440
Doti ,Population,211746
Doti ,Population Land Ratio ( person per ha .),12.93
Doti ,Population Density (person per sq.km.),105
Kailali ,Geographical Area (sq.km.),3235
Kailali ,Holding Number,111662
Kailali ,Holding Area (ha),66658.5
Kailali ,Household,142480
Kailali ,Population,775709
Kailali ,Population Land Ratio ( person per ha .),11.64
Kailali ,Population Density (person per sq.km.),240
Kanchanpur ,Geographical Area (sq.km.),1610
Kanchanpur ,Holding Number,70573
Kanchanpur ,Holding Area (ha),44352.9
Kanchanpur ,Household,82152
Kanchanpur ,Population,451248
Kanchanpur ,Population Land Ratio ( person per ha .),10.17
Kanchanpur ,Population Density (person per sq.km.),280
Dadeldhura ,Geographical Area (sq.km.),1538
Dadeldhura ,Holding Number,24797
Dadeldhura ,Holding Area (ha),11616.8
Dadeldhura ,Household,27045
Dadeldhura ,Population,142094
Dadeldhura ,Population Land Ratio ( person per ha .),12.23
Dadeldhura ,Population Density (person per sq.km.),92
Baitadi ,Geographical Area (sq.km.),1519
Baitadi ,Holding Number,43544
Baitadi ,Holding Area (ha),21326.7
Baitadi ,Household,45191
Baitadi ,Population,250898
Baitadi ,Population Land Ratio ( person per ha .),11.76
Baitadi ,Population Density (person per sq.km.),165
Darchula ,Geographical Area (sq.km.),2322
Darchula ,Holding Number,22420
Darchula ,Holding Area (ha),17378.5
Darchula ,Household,24618
Darchula ,Population,133274
Darchula ,Population Land Ratio ( person per ha .),7.67
Darchula ,Population Density (person per sq.km.),57
