" Age group 
in single year",Gender,Number of people
82 Yrs.,Female,811
83 Yrs.,Male,444
83 Yrs.,Female,586
84 Yrs.,Male,591
84 Yrs.,Female,744
85 Yrs.,Male,526
85 Yrs.,Female,746
86 Yrs.,Male,337
86 Yrs.,Female,457
87 Yrs.,Male,265
87 Yrs.,Female,340
88 Yrs.,Male,294
88 Yrs.,Female,382
89 Yrs.,Male,142
89 Yrs.,Female,171
90 Yrs.,Male,217
90 Yrs.,Female,342
91 Yrs.,Male,85
91 Yrs.,Female,124
92 Yrs.,Male,94
92 Yrs.,Female,157
93 Yrs.,Male,61
93 Yrs.,Female,119
94 Yrs.,Male,37
94 Yrs.,Female,78
95 Yrs.,Male,75
95 Yrs.,Female,89
96 Yrs.,Male,25
96 Yrs.,Female,45
97 Yrs.,Male,20
97 Yrs.,Female,43
98 Yrs.,Male,31
98 Yrs.,Female,41
99 Yrs.,Male,34
99 Yrs.,Female,29
100 Yrs and above,Male,31
100 Yrs and above,Female,63
