District,Zone,Geographical Region,Development Region,Year AD,Year BS,Manufacturing Company Type,No of establishment,No of persons engaged,No of employees,"Wages, Salaries and other benefits(In thousand)"
Nawalparasi,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of paper and paper products,3,267,263,"25,441"
Nawalparasi,Lumbini,Terai,Western,2011/12,2068/69,Printing and reproduction of recorded media,1,,,
Nawalparasi,Lumbini,Terai,Western,2011/12,2068/69,"Manufacture of pharmaceuticals,  medicinal chemical and botanical products",2,,,
Nawalparasi,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of rubber and plastics products,3,221,218,"24,153"
Nawalparasi,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of other non-metallic mineral products,32,"5,666","5,608","360,930"
Nawalparasi,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of basic metals,1,,,
Nawalparasi,Lumbini,Terai,Western,2011/12,2068/69,"Manufacture of fabricated metal products, except machinery and equipment and equipment",2,,,
Nawalparasi,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of machinery and equipment n.e.c.,1,,,
Nawalparasi,Lumbini,Terai,Western,2011/12,2068/69,"Manufacture of motor vehicles, trailers and semi-trailers",1,,,
Nawalparasi,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of furniture,4,45,38,"4,752"
Rupandehi,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of food products,85,"2,281","2,029","228,172"
Rupandehi,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of beverages,3,469,452,"62,055"
Rupandehi,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of textiles,5,467,461,"31,513"
Rupandehi,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of wearing apparel,1,,,
Rupandehi,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of leather and related products,1,,,
Rupandehi,Lumbini,Terai,Western,2011/12,2068/69,"Manufacture of wood and of products of wood and cork,",12,194,164,"15,858"
Rupandehi,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of paper and paper products,6,215,201,"24,126"
Rupandehi,Lumbini,Terai,Western,2011/12,2068/69,Printing and reproduction of recorded media,9,139,113,"8,097"
Rupandehi,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of chemicals and chemical products,9,415,389,"38,965"
Rupandehi,Lumbini,Terai,Western,2011/12,2068/69,"Manufacture of pharmaceuticals,  medicinal chemical and",5,541,507,"95,294"
Rupandehi,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of rubber and plastics products,44,"1,952","1,833","179,788"
Rupandehi,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of other non-metallic mineral products,73,"5,715","5,589","552,868"
Rupandehi,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of basic metals,9,"1,356","1,325","168,168"
Rupandehi,Lumbini,Terai,Western,2011/12,2068/69,"Manufacture of fabricated metal products, except machinery and equipment",19,529,490,"49,798"
Rupandehi,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of electrical equipment,4,249,241,"25,928"
Rupandehi,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of machinery and equipment n.e.c.,7,354,332,"62,884"
Rupandehi,Lumbini,Terai,Western,2011/12,2068/69,"Manufacture of motor vehicles, trailers and semi-trailers",2,,,
Rupandehi,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of furniture,25,285,222,"25,874"
Rupandehi,Lumbini,Terai,Western,2011/12,2068/69,Repair and installation of machinery and equipment,1,,,
Kapilbastu,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of food products,31,639,560,"42,330"
Kapilbastu,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of beverages,1,,,
Kapilbastu,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of tobacco products,1,,,
Kapilbastu,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of textiles,3,41,36,"2,593"
Kapilbastu,Lumbini,Terai,Western,2011/12,2068/69,"Manufacture of wood and of products of wood and cork,",9,280,258,"26,738"
Kapilbastu,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of paper and paper products,1,,,
Kapilbastu,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of chemicals and chemical products,2,,,
Kapilbastu,Lumbini,Terai,Western,2011/12,2068/69,"Manufacture of pharmaceuticals,  medicinal chemical and",2 botanical products,,,
Kapilbastu,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of other non-metallic mineral products,53,"3,793","3,659","129,949"
Kapilbastu,Lumbini,Terai,Western,2011/12,2068/69,Manufacture of furniture,7,73,57,"4,178"
Arghakhanchi,Lumbini,Hill,Western,2011/12,2068/69,Manufacture of food products,3,33,23,"1,750"
Arghakhanchi,Lumbini,Hill,Western,2011/12,2068/69,Manufacture of textiles,1,,,
Arghakhanchi,Lumbini,Hill,Western,2011/12,2068/69,Manufacture of wearing apparel,1,,,
Arghakhanchi,Lumbini,Hill,Western,2011/12,2068/69,"Manufacture of wood and of products of wood and cork, except furniture",1,,,
Arghakhanchi,Lumbini,Hill,Western,2011/12,2068/69,Manufacture of other non-metallic mineral products,4,84,75,"6,688"
Arghakhanchi,Lumbini,Hill,Western,2011/12,2068/69,"Manufacture of fabricated metal products, except machinery and equipment and equipment",2,,,
Arghakhanchi,Lumbini,Hill,Western,2011/12,2068/69,Manufacture of furniture,,,,
Pyuthan,Rapti,Hill,Mid-Western,2011/12,2068/69,Manufacture of furniture,,,,
Rolpa,Rapti,Hill,Mid-Western,2011/12,2068/69,"Manufacture of fabricated metal products, except machinery and equipment",1 and equipment,,,
Rukum,Rapti,Hill,Mid-Western,2011/12,2068/69,Manufacture of furniture,2,,,
Dang,Rapti,Terai,Mid-Western,2011/12,2068/69,Manufacture of food products,19,278,209,"17,634"
Dang,Rapti,Terai,Mid-Western,2011/12,2068/69,Manufacture of beverages,2,,,
Dang,Rapti,Terai,Mid-Western,2011/12,2068/69,"Manufacture of wood and of products of wood and cork,",15,213,187,"16,744"
Dang,Rapti,Terai,Mid-Western,2011/12,2068/69,Manufacture of rubber and plastics products,1,,,
Dang,Rapti,Terai,Mid-Western,2011/12,2068/69,Manufacture of other non-metallic mineral products,24,"1,613","1,550","119,283"
Dang,Rapti,Terai,Mid-Western,2011/12,2068/69,"Manufacture of fabricated metal products, except machinery and equipment and equipment",2,,,
Dang,Rapti,Terai,Mid-Western,2011/12,2068/69,Manufacture of furniture,9,143,118,"13,713"
Dang,Rapti,Terai,Mid-Western,2011/12,2068/69,Other manufacturing,6,84,62,"10,331"
Banke,Bheri,Terai,Mid-Western,2011/12,2068/69,Manufacture of food products,56,"1,045",913,"100,120"
Banke,Bheri,Terai,Mid-Western,2011/12,2068/69,Manufacture of beverages,4,272,254,"50,356"
Banke,Bheri,Terai,Mid-Western,2011/12,2068/69,Manufacture of textiles,1,,,
Banke,Bheri,Terai,Mid-Western,2011/12,2068/69,Manufacture of leather and related products,2,,,
Banke,Bheri,Terai,Mid-Western,2011/12,2068/69,"Manufacture of wood and of products of wood and cork,",22,377,330,"25,155"
Banke,Bheri,Terai,Mid-Western,2011/12,2068/69,"Manufacture of pharmaceuticals,  medicinal chemical and botanical products",10,383,362,"39,879"
Banke,Bheri,Terai,Mid-Western,2011/12,2068/69,Manufacture of rubber and plastics products,10,206,181,"17,783"
Banke,Bheri,Terai,Mid-Western,2011/12,2068/69,Manufacture of other non-metallic mineral products,44,"4,886","4,806","95,343"
Banke,Bheri,Terai,Mid-Western,2011/12,2068/69,"Manufacture of fabricated metal products, except machinery and equipment",15,415,379,"35,320"
Banke,Bheri,Terai,Mid-Western,2011/12,2068/69,Manufacture of electrical equipment,2,,,
Banke,Bheri,Terai,Mid-Western,2011/12,2068/69,Manufacture of machinery and equipment n.e.c.,1,,,
Banke,Bheri,Terai,Mid-Western,2011/12,2068/69,Manufacture of furniture,15,191,151,"10,755"
Banke,Bheri,Terai,Mid-Western,2011/12,2068/69,Other manufacturing,1,,,
Bardiya,Bheri,Terai,Mid-Western,2011/12,2068/69,Manufacture of food products,27,358,292,"15,056"
Bardiya,Bheri,Terai,Mid-Western,2011/12,2068/69,"Manufacture of wood and of products of wood and cork,",14,165,131,"5,775"
Bardiya,Bheri,Terai,Mid-Western,2011/12,2068/69,Manufacture of chemicals and chemical products,1,,,
Bardiya,Bheri,Terai,Mid-Western,2011/12,2068/69,Manufacture of other non-metallic mineral products,15,"1,026",990,"31,928"
Bardiya,Bheri,Terai,Mid-Western,2011/12,2068/69,Manufacture of machinery and equipment n.e.c.,1,,,
Bardiya,Bheri,Terai,Mid-Western,2011/12,2068/69,Manufacture of furniture,7,74,58,"2,186"
Surkhet,Bheri,Hill,Mid-Western,2011/12,2068/69,Manufacture of food products,1,,,
Surkhet,Bheri,Hill,Mid-Western,2011/12,2068/69,Manufacture of beverages,2,,,
Surkhet,Bheri,Hill,Mid-Western,2011/12,2068/69,Manufacture of textiles,1,,,
Surkhet,Bheri,Hill,Mid-Western,2011/12,2068/69,Manufacture of wearing apparel,7,72,57,"4,863"
Surkhet,Bheri,Hill,Mid-Western,2011/12,2068/69,"Manufacture of wood and of products of wood and cork,",8,81,55,"5,103"
Surkhet,Bheri,Hill,Mid-Western,2011/12,2068/69,Manufacture of paper and paper products,1,,,
Surkhet,Bheri,Hill,Mid-Western,2011/12,2068/69,Printing and reproduction of recorded media,1,,,
Surkhet,Bheri,Hill,Mid-Western,2011/12,2068/69,Manufacture of rubber and plastics products,1,,,
Surkhet,Bheri,Hill,Mid-Western,2011/12,2068/69,Manufacture of other non-metallic mineral products,8,200,184,"13,470"
Surkhet,Bheri,Hill,Mid-Western,2011/12,2068/69,"Manufacture of fabricated metal products, except machinery and equipment and equipment",1,,,
Surkhet,Bheri,Hill,Mid-Western,2011/12,2068/69,Manufacture of electrical equipment,1,,,
Surkhet,Bheri,Hill,Mid-Western,2011/12,2068/69,Manufacture of furniture,,,,
Dailekh,Bheri,Hill,Mid-Western,2011/12,2068/69,Manufacture of textiles,1,,,
Dailekh,Bheri,Hill,Mid-Western,2011/12,2068/69,Manufacture of paper and paper products,1,,,
Dailekh,Bheri,Hill,Mid-Western,2011/12,2068/69,Manufacture of furniture,1,,,
Jajarkot,Bheri,Hill,Mid-Western,2011/12,2068/69,Manufacture of paper and paper products,2,,,
Jumla,Karnali,Mountain,Mid-Western,2011/12,2068/69,Manufacture of electrical equipment,1,,,
Kalikot,Karnali,Mountain,Mid-Western,2011/12,2068/69,Manufacture of furniture,1,,,
Bajura,Seti,Mountain,Far-Western,2011/12,2068/69,Manufacture of paper and paper products,3,34,22,"1,050"
Bajura,Seti,Mountain,Far-Western,2011/12,2068/69,"Manufacture of fabricated metal products, except machinery and equipment and equipment",1,,,
Bajura,Seti,Mountain,Far-Western,2011/12,2068/69,Manufacture of furniture,1,,,
Bajhang,Seti,Mountain,Far-Western,2011/12,2068/69,Manufacture of paper and paper products,1,,,
Doti,Seti,Hill,Far-Western,2011/12,2068/69,Manufacture of food products,2,,,
Doti,Seti,Hill,Far-Western,2011/12,2068/69,Manufacture of furniture,2,,,
Kailali,Seti,Terai,Far-Western,2011/12,2068/69,Manufacture of food products,39,907,841,"64,985"
Kailali,Seti,Terai,Far-Western,2011/12,2068/69,Manufacture of tobacco products,1,,,
Kailali,Seti,Terai,Far-Western,2011/12,2068/69,Manufacture of wearing apparel,3,40,34,"2,702"
Kailali,Seti,Terai,Far-Western,2011/12,2068/69,"Manufacture of wood and of products of wood and cork, except furniture",17,258,234,"14,512"
Kailali,Seti,Terai,Far-Western,2011/12,2068/69,Printing and reproduction of recorded media,4,50,43,"2,877"
Kailali,Seti,Terai,Far-Western,2011/12,2068/69,Manufacture of chemicals and chemical products,3,124,122,"12,548"
Kailali,Seti,Terai,Far-Western,2011/12,2068/69,"Manufacture of pharmaceuticals,  medicinal chemical and botanical products",2,,,
Kailali,Seti,Terai,Far-Western,2011/12,2068/69,Manufacture of other non-metallic mineral products,31,"1,577","1,540","83,478"
Kailali,Seti,Terai,Far-Western,2011/12,2068/69,"Manufacture of fabricated metal products, except machinery and equipment",13,177,156,"9,911"
Kailali,Seti,Terai,Far-Western,2011/12,2068/69,Manufacture of furniture,10,154,134,"10,390"
Kanchanpur,Mahakali,Terai,Far-Western,2011/12,2068/69,Manufacture of food products,38,957,865,"33,901"
Kanchanpur,Mahakali,Terai,Far-Western,2011/12,2068/69,Manufacture of beverages,2,,,
Kanchanpur,Mahakali,Terai,Far-Western,2011/12,2068/69,Manufacture of textiles,1,,,
Kanchanpur,Mahakali,Terai,Far-Western,2011/12,2068/69,Manufacture of wearing apparel,4,46,36,"3,371"
Kanchanpur,Mahakali,Terai,Far-Western,2011/12,2068/69,"Manufacture of wood and of products of wood and cork,",12,171,150,"8,743"
Kanchanpur,Mahakali,Terai,Far-Western,2011/12,2068/69,Printing and reproduction of recorded media,2,,,
Kanchanpur,Mahakali,Terai,Far-Western,2011/12,2068/69,Manufacture of other non-metallic mineral products,27,"1,829","1,776","73,876"
Kanchanpur,Mahakali,Terai,Far-Western,2011/12,2068/69,"Manufacture of fabricated metal products, except machinery and equipment and equipment",1,,,
Kanchanpur,Mahakali,Terai,Far-Western,2011/12,2068/69,"Manufacture of motor vehicles, trailers and semi-trailers",2,,,
Kanchanpur,Mahakali,Terai,Far-Western,2011/12,2068/69,Manufacture of furniture,6,101,92,"5,444"
Kanchanpur,Mahakali,Terai,Far-Western,2011/12,2068/69,Other manufacturing,1,,,
Baitadi,Mahakali,Hill,Far-Western,2011/12,2068/69,Manufacture of chemicals and chemical products,1,,,
Darchaula,Mahakali,Mountain,Far-Western,2011/12,2068/69,Manufacture of textiles,1,,,
