District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Age-Group,Indicator,Sub-Indicator,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,14 Year,School attendence not Stated,Female,54
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 Year,Currently going to school,Male,2676
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 Year,Currently going to school,Female,2543
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 Year,Not currently going to school,Male,223
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 Year,Not currently going to school,Female,654
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 Year,School attendence not Stated,Male,48
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 Year,School attendence not Stated,Female,71
Achham,Seti,Hill,Far-Western,2068/69,2011/12,16 Year,Currently going to school,Male,2405
Achham,Seti,Hill,Far-Western,2068/69,2011/12,16 Year,Currently going to school,Female,2443
Achham,Seti,Hill,Far-Western,2068/69,2011/12,16 Year,Not currently going to school,Male,302
Achham,Seti,Hill,Far-Western,2068/69,2011/12,16 Year,Not currently going to school,Female,993
Achham,Seti,Hill,Far-Western,2068/69,2011/12,16 Year,School attendence not Stated,Male,46
Achham,Seti,Hill,Far-Western,2068/69,2011/12,16 Year,School attendence not Stated,Female,67
Achham,Seti,Hill,Far-Western,2068/69,2011/12,17 Year,Currently going to school,Male,1303
Achham,Seti,Hill,Far-Western,2068/69,2011/12,17 Year,Currently going to school,Female,1214
Achham,Seti,Hill,Far-Western,2068/69,2011/12,17 Year,Not currently going to school,Male,266
Achham,Seti,Hill,Far-Western,2068/69,2011/12,17 Year,Not currently going to school,Female,730
Achham,Seti,Hill,Far-Western,2068/69,2011/12,17 Year,School attendence not Stated,Male,19
Achham,Seti,Hill,Far-Western,2068/69,2011/12,17 Year,School attendence not Stated,Female,61
Achham,Seti,Hill,Far-Western,2068/69,2011/12,18 Year,Currently going to school,Male,1705
Achham,Seti,Hill,Far-Western,2068/69,2011/12,18 Year,Currently going to school,Female,1525
Achham,Seti,Hill,Far-Western,2068/69,2011/12,18 Year,Not currently going to school,Male,639
Achham,Seti,Hill,Far-Western,2068/69,2011/12,18 Year,Not currently going to school,Female,1713
Achham,Seti,Hill,Far-Western,2068/69,2011/12,18 Year,School attendence not Stated,Male,54
Achham,Seti,Hill,Far-Western,2068/69,2011/12,18 Year,School attendence not Stated,Female,125
Achham,Seti,Hill,Far-Western,2068/69,2011/12,19 Year,Currently going to school,Male,631
Achham,Seti,Hill,Far-Western,2068/69,2011/12,19 Year,Currently going to school,Female,569
Achham,Seti,Hill,Far-Western,2068/69,2011/12,19 Year,Not currently going to school,Male,456
Achham,Seti,Hill,Far-Western,2068/69,2011/12,19 Year,Not currently going to school,Female,1063
Achham,Seti,Hill,Far-Western,2068/69,2011/12,19 Year,School attendence not Stated,Male,23
Achham,Seti,Hill,Far-Western,2068/69,2011/12,19 Year,School attendence not Stated,Female,69
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 Year,Currently going to school,Male,524
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 Year,Currently going to school,Female,480
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 Year,Not currently going to school,Male,800
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 Year,Not currently going to school,Female,1895
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 Year,School attendence not Stated,Male,45
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 Year,School attendence not Stated,Female,106
Achham,Seti,Hill,Far-Western,2068/69,2011/12,21 Year,Currently going to school,Male,238
Achham,Seti,Hill,Far-Western,2068/69,2011/12,21 Year,Currently going to school,Female,206
Achham,Seti,Hill,Far-Western,2068/69,2011/12,21 Year,Not currently going to school,Male,592
Achham,Seti,Hill,Far-Western,2068/69,2011/12,21 Year,Not currently going to school,Female,1327
Achham,Seti,Hill,Far-Western,2068/69,2011/12,21 Year,School attendence not Stated,Male,38
Achham,Seti,Hill,Far-Western,2068/69,2011/12,21 Year,School attendence not Stated,Female,84
Achham,Seti,Hill,Far-Western,2068/69,2011/12,22 Year,Currently going to school,Male,238
Achham,Seti,Hill,Far-Western,2068/69,2011/12,22 Year,Currently going to school,Female,177
Achham,Seti,Hill,Far-Western,2068/69,2011/12,22 Year,Not currently going to school,Male,945
Achham,Seti,Hill,Far-Western,2068/69,2011/12,22 Year,Not currently going to school,Female,1798
Achham,Seti,Hill,Far-Western,2068/69,2011/12,22 Year,School attendence not Stated,Male,34
Achham,Seti,Hill,Far-Western,2068/69,2011/12,22 Year,School attendence not Stated,Female,86
Achham,Seti,Hill,Far-Western,2068/69,2011/12,23 Year,Currently going to school,Male,123
Achham,Seti,Hill,Far-Western,2068/69,2011/12,23 Year,Currently going to school,Female,87
Achham,Seti,Hill,Far-Western,2068/69,2011/12,23 Year,Not currently going to school,Male,681
Achham,Seti,Hill,Far-Western,2068/69,2011/12,23 Year,Not currently going to school,Female,1355
Achham,Seti,Hill,Far-Western,2068/69,2011/12,23 Year,School attendence not Stated,Male,24
Achham,Seti,Hill,Far-Western,2068/69,2011/12,23 Year,School attendence not Stated,Female,69
Achham,Seti,Hill,Far-Western,2068/69,2011/12,24 Year,Currently going to school,Male,111
Achham,Seti,Hill,Far-Western,2068/69,2011/12,24 Year,Currently going to school,Female,92
Achham,Seti,Hill,Far-Western,2068/69,2011/12,24 Year,Not currently going to school,Male,735
Achham,Seti,Hill,Far-Western,2068/69,2011/12,24 Year,Not currently going to school,Female,1557
Achham,Seti,Hill,Far-Western,2068/69,2011/12,24 Year,School attendence not Stated,Male,25
Achham,Seti,Hill,Far-Western,2068/69,2011/12,24 Year,School attendence not Stated,Female,84
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 Year,Currently going to school,Male,160
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 Year,Currently going to school,Female,84
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 Year,Not currently going to school,Male,1183
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 Year,Not currently going to school,Female,2376
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 Year,School attendence not Stated,Male,55
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 Year,School attendence not Stated,Female,131
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,05 Year,Currently going to school,Male,1844
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,05 Year,Currently going to school,Female,1797
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,05 Year,Not currently going to school,Male,530
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,05 Year,Not currently going to school,Female,507
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,05 Year,School attendence not Stated,Male,88
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,05 Year,School attendence not Stated,Female,73
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,06 Year,Currently going to school,Male,2148
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,06 Year,Currently going to school,Female,2148
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,06 Year,Not currently going to school,Male,201
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,06 Year,Not currently going to school,Female,224
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,06 Year,School attendence not Stated,Male,35
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,06 Year,School attendence not Stated,Female,52
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,07 Year,Currently going to school,Male,2532
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,07 Year,Currently going to school,Female,2485
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,07 Year,Not currently going to school,Male,97
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,07 Year,Not currently going to school,Female,105
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,07 Year,School attendence not Stated,Male,44
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,07 Year,School attendence not Stated,Female,36
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,08 Year,Currently going to school,Male,2575
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,08 Year,Currently going to school,Female,2348
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,08 Year,Not currently going to school,Male,82
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,08 Year,Not currently going to school,Female,97
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,08 Year,School attendence not Stated,Male,39
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,08 Year,School attendence not Stated,Female,22
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,09 Year,Currently going to school,Male,2368
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,09 Year,Currently going to school,Female,2347
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,09 Year,Not currently going to school,Male,64
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,09 Year,Not currently going to school,Female,50
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,09 Year,School attendence not Stated,Male,31
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,09 Year,School attendence not Stated,Female,29
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,10 Year,Currently going to school,Male,2837
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,10 Year,Currently going to school,Female,2791
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,10 Year,Not currently going to school,Male,71
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,10 Year,Not currently going to school,Female,53
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,10 Year,School attendence not Stated,Male,32
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,10 Year,School attendence not Stated,Female,34
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,11 Year,Currently going to school,Male,2576
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,11 Year,Currently going to school,Female,2575
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,11 Year,Not currently going to school,Male,78
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,11 Year,Not currently going to school,Female,74
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,11 Year,School attendence not Stated,Male,39
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,11 Year,School attendence not Stated,Female,29
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,12 Year,Currently going to school,Male,2985
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,12 Year,Currently going to school,Female,2975
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,12 Year,Not currently going to school,Male,66
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,12 Year,Not currently going to school,Female,81
