District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Gender,Age-Group,Population residing 5 years ago in foreign country,In number
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,05 - 14 Years,Middle East country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,05 - 14 Years,Other Asian country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,05 - 14 Years,European country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,05 - 14 Years,North American country (USA/Canada),0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,05 - 14 Years,Other countries,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,05 - 14 Years,Country not stated,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,India,165
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,SAARC country (excluding india),0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,ASEAN country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Middle East country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Other Asian country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,European country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,North American country (USA/Canada),0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Other countries,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Country not stated,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,India,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,SAARC country (excluding india),0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,ASEAN country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,Middle East country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,Other Asian country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,European country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,North American country (USA/Canada),0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,Other countries,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male,60+ Years,Country not stated,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,05 - 14 Years,India,23
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,05 - 14 Years,SAARC country (excluding india),0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,05 - 14 Years,ASEAN country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,05 - 14 Years,Middle East country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,05 - 14 Years,Other Asian country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,05 - 14 Years,European country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,05 - 14 Years,North American country (USA/Canada),0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,05 - 14 Years,Other countries,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,05 - 14 Years,Country not stated,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,India,120
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,SAARC country (excluding india),0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,ASEAN country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Middle East country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Other Asian country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,European country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,North American country (USA/Canada),0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Other countries,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Country not stated,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,India,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,SAARC country (excluding india),0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,ASEAN country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,Middle East country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,Other Asian country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,European country,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,North American country (USA/Canada),0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,Other countries,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female,60+ Years,Country not stated,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,05 - 14 Years,India,62
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,05 - 14 Years,SAARC country (excluding india),0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,05 - 14 Years,ASEAN country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,05 - 14 Years,Middle East country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,05 - 14 Years,Other Asian country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,05 - 14 Years,European country,1
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,05 - 14 Years,North American country (USA/Canada),0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,05 - 14 Years,Other countries,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,05 - 14 Years,Country not stated,8
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,India,260
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,SAARC country (excluding india),0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,ASEAN country,47
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Middle East country,39
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Other Asian country,1
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,European country,1
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,North American country (USA/Canada),0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Other countries,9
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,15 - 59 Years,Country not stated,9
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,60+ Years,India,9
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,60+ Years,SAARC country (excluding india),0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,60+ Years,ASEAN country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,60+ Years,Middle East country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,60+ Years,Other Asian country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,60+ Years,European country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,60+ Years,North American country (USA/Canada),0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,60+ Years,Other countries,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male,60+ Years,Country not stated,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,05 - 14 Years,India,43
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,05 - 14 Years,SAARC country (excluding india),0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,05 - 14 Years,ASEAN country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,05 - 14 Years,Middle East country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,05 - 14 Years,Other Asian country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,05 - 14 Years,European country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,05 - 14 Years,North American country (USA/Canada),0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,05 - 14 Years,Other countries,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,05 - 14 Years,Country not stated,8
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,India,213
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,SAARC country (excluding india),0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,ASEAN country,9
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Middle East country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Other Asian country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,European country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,North American country (USA/Canada),0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Other countries,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,15 - 59 Years,Country not stated,1
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,60+ Years,India,18
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,60+ Years,SAARC country (excluding india),0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,60+ Years,ASEAN country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,60+ Years,Middle East country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,60+ Years,Other Asian country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,60+ Years,European country,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,60+ Years,North American country (USA/Canada),0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,60+ Years,Other countries,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female,60+ Years,Country not stated,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,05 - 14 Years,India,18
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,05 - 14 Years,SAARC country (excluding india),0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,05 - 14 Years,ASEAN country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,05 - 14 Years,Middle East country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,05 - 14 Years,Other Asian country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,05 - 14 Years,European country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,05 - 14 Years,North American country (USA/Canada),0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,05 - 14 Years,Other countries,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,05 - 14 Years,Country not stated,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,India,42
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,SAARC country (excluding india),0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,ASEAN country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Middle East country,17
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Other Asian country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,European country,9
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,North American country (USA/Canada),0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Other countries,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Country not stated,24
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,India,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,SAARC country (excluding india),0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,ASEAN country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Middle East country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Other Asian country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,European country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,North American country (USA/Canada),0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Other countries,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male,60+ Years,Country not stated,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,05 - 14 Years,India,18
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,05 - 14 Years,SAARC country (excluding india),0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,05 - 14 Years,ASEAN country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,05 - 14 Years,Middle East country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,05 - 14 Years,Other Asian country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,05 - 14 Years,European country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,05 - 14 Years,North American country (USA/Canada),0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,05 - 14 Years,Other countries,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,05 - 14 Years,Country not stated,0
