District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Gender,Age-Group,Population residing 5 years ago in foreign country,In number
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,India,66
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,SAARC country (excluding india),0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,ASEAN country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Middle East country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Other Asian country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,European country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,North American country (USA/Canada),0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Other countries,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Country not stated,2
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,India,10
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,SAARC country (excluding india),0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,ASEAN country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Middle East country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Other Asian country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,European country,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,North American country (USA/Canada),0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Other countries,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female,60+ Years,Country not stated,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,05 - 14 Years,India,63
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,05 - 14 Years,SAARC country (excluding india),0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,05 - 14 Years,ASEAN country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,05 - 14 Years,Middle East country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,05 - 14 Years,Other Asian country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,05 - 14 Years,European country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,05 - 14 Years,North American country (USA/Canada),0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,05 - 14 Years,Other countries,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,05 - 14 Years,Country not stated,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,15 - 59 Years,India,57
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,15 - 59 Years,SAARC country (excluding india),0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,15 - 59 Years,ASEAN country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Middle East country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Other Asian country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,15 - 59 Years,European country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,15 - 59 Years,North American country (USA/Canada),0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Other countries,8
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,15 - 59 Years,Country not stated,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,60+ Years,India,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,60+ Years,SAARC country (excluding india),0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,60+ Years,ASEAN country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,60+ Years,Middle East country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,60+ Years,Other Asian country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,60+ Years,European country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,60+ Years,North American country (USA/Canada),0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,60+ Years,Other countries,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male,60+ Years,Country not stated,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,05 - 14 Years,India,67
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,05 - 14 Years,SAARC country (excluding india),0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,05 - 14 Years,ASEAN country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,05 - 14 Years,Middle East country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,05 - 14 Years,Other Asian country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,05 - 14 Years,European country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,05 - 14 Years,North American country (USA/Canada),0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,05 - 14 Years,Other countries,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,05 - 14 Years,Country not stated,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,15 - 59 Years,India,48
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,15 - 59 Years,SAARC country (excluding india),0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,15 - 59 Years,ASEAN country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Middle East country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Other Asian country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,15 - 59 Years,European country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,15 - 59 Years,North American country (USA/Canada),0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Other countries,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,15 - 59 Years,Country not stated,8
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,60+ Years,India,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,60+ Years,SAARC country (excluding india),0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,60+ Years,ASEAN country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,60+ Years,Middle East country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,60+ Years,Other Asian country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,60+ Years,European country,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,60+ Years,North American country (USA/Canada),0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,60+ Years,Other countries,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female,60+ Years,Country not stated,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male,05 - 14 Years,India,57
