District,Vdc,Gender/Household,Number
Taplejung,Ambegudin,Total households,625
Taplejung,Ambegudin,Population Male,1442
Taplejung,Ambegudin,Population Female,1537
Taplejung,Angkhop,Total households,451
Taplejung,Angkhop,Population Male,1122
Taplejung,Angkhop,Population Female,1224
Taplejung,Chaksibote,Total households,191
Taplejung,Chaksibote,Population Male,425
Taplejung,Chaksibote,Population Female,483
Taplejung,Change,Total households,861
Taplejung,Change,Population Male,1876
Taplejung,Change,Population Female,2158
Taplejung,Dhungesanghu,Total households,746
Taplejung,Dhungesanghu,Population Male,1734
Taplejung,Dhungesanghu,Population Female,2014
Taplejung,Dokhu,Total households,909
Taplejung,Dokhu,Population Male,1940
Taplejung,Dokhu,Population Female,2171
Taplejung,Dummrise,Total households,324
Taplejung,Dummrise,Population Male,729
Taplejung,Dummrise,Population Female,830
Taplejung,Ekhabu,Total households,396
Taplejung,Ekhabu,Population Male,971
Taplejung,Ekhabu,Population Female,1061
Taplejung,Hangdewa,Total households,753
Taplejung,Hangdewa,Population Male,1683
Taplejung,Hangdewa,Population Female,1922
Taplejung,Hangpang,Total households,782
Taplejung,Hangpang,Population Male,1746
Taplejung,Hangpang,Population Female,1973
Taplejung,Kalikhola,Total households,118
Taplejung,Kalikhola,Population Male,303
Taplejung,Kalikhola,Population Female,326
Taplejung,Khamlung,Total households,319
Taplejung,Khamlung,Population Male,730
Taplejung,Khamlung,Population Female,787
Taplejung,Khejenim,Total households,480
Taplejung,Khejenim,Population Male,1186
Taplejung,Khejenim,Population Female,1220
Taplejung,Khewang,Total households,526
Taplejung,Khewang,Population Male,1283
Taplejung,Khewang,Population Female,1408
Taplejung,Khokling,Total households,693
Taplejung,Khokling,Population Male,1614
Taplejung,Khokling,Population Female,1762
Taplejung,Lelep,Total households,511
Taplejung,Lelep,Population Male,1122
Taplejung,Lelep,Population Female,1083
Taplejung,Limbudin,Total households,356
Taplejung,Limbudin,Population Male,841
Taplejung,Limbudin,Population Female,991
Taplejung,Lingtep,Total households,332
Taplejung,Lingtep,Population Male,747
Taplejung,Lingtep,Population Female,869
Taplejung,Linkhim,Total households,457
Taplejung,Linkhim,Population Male,1079
Taplejung,Linkhim,Population Female,1135
Taplejung,Liwang,Total households,359
Taplejung,Liwang,Population Male,810
Taplejung,Liwang,Population Female,943
Taplejung,Mamangkhe,Total households,240
Taplejung,Mamangkhe,Population Male,519
Taplejung,Mamangkhe,Population Female,616
Taplejung,Mehele,Total households,463
Taplejung,Mehele,Population Male,1148
Taplejung,Mehele,Population Female,1209
Taplejung,Nalbu,Total households,376
Taplejung,Nalbu,Population Male,870
Taplejung,Nalbu,Population Female,979
Taplejung,Nangkholyang,Total households,809
Taplejung,Nangkholyang,Population Male,1722
Taplejung,Nangkholyang,Population Female,2046
Taplejung,Nidhuradin,Total households,511
Taplejung,Nidhuradin,Population Male,1117
Taplejung,Nidhuradin,Population Female,1384
Taplejung,Olangchung Gola,Total households,62
Taplejung,Olangchung Gola,Population Male,127
Taplejung,Olangchung Gola,Population Female,112
Taplejung,Papung,Total households,316
Taplejung,Papung,Population Male,794
Taplejung,Papung,Population Female,827
Taplejung,Pedang,Total households,344
Taplejung,Pedang,Population Male,815
Taplejung,Pedang,Population Female,886
Taplejung,Phakumba,Total households,693
Taplejung,Phakumba,Population Male,1647
Taplejung,Phakumba,Population Female,1829
Taplejung,Phawakhola,Total households,260
Taplejung,Phawakhola,Population Male,589
Taplejung,Phawakhola,Population Female,714
Taplejung,Phulbari,Total households,734
Taplejung,Phulbari,Population Male,1675
Taplejung,Phulbari,Population Female,1855
Taplejung,Phungling,Total households,3571
Taplejung,Phungling,Population Male,7108
Taplejung,Phungling,Population Female,7866
Taplejung,Phurumbu,Total households,493
Taplejung,Phurumbu,Population Male,1145
Taplejung,Phurumbu,Population Female,1268
Taplejung,Sadewa,Total households,211
Taplejung,Sadewa,Population Male,515
Taplejung,Sadewa,Population Female,533
Taplejung,Sanghu,Total households,755
Taplejung,Sanghu,Population Male,1813
Taplejung,Sanghu,Population Female,2000
Taplejung,Santhakra,Total households,533
Taplejung,Santhakra,Population Male,1178
Taplejung,Santhakra,Population Female,1416
Taplejung,Sanwa,Total households,501
Taplejung,Sanwa,Population Male,1095
Taplejung,Sanwa,Population Female,1315
Taplejung,Sawandin,Total households,297
Taplejung,Sawandin,Population Male,676
Taplejung,Sawandin,Population Female,785
Taplejung,Sablakhu,Total households,432
Taplejung,Sablakhu,Population Male,997
Taplejung,Sablakhu,Population Female,1136
Taplejung,Sikaicha,Total households,417
Taplejung,Sikaicha,Population Male,1066
Taplejung,Sikaicha,Population Female,1184
Taplejung,Sinam,Total households,461
Taplejung,Sinam,Population Male,977
Taplejung,Sinam,Population Female,1116
Taplejung,Surumkhim,Total households,339
Taplejung,Surumkhim,Population Male,851
Taplejung,Surumkhim,Population Female,903
Taplejung,Tapethok,Total households,322
Taplejung,Tapethok,Population Male,719
Taplejung,Tapethok,Population Female,741
Taplejung,Tellok,Total households,449
Taplejung,Tellok,Population Male,1013
Taplejung,Tellok,Population Female,1214
Taplejung,Thechambu,Total households,702
Taplejung,Thechambu,Population Male,1552
Taplejung,Thechambu,Population Female,1834
Taplejung,Thinglabu,Total households,491
Taplejung,Thinglabu,Population Male,1153
Taplejung,Thinglabu,Population Female,1323
Taplejung,Thukimma,Total households,527
Taplejung,Thukimma,Population Male,1131
Taplejung,Thukimma,Population Female,1365
Taplejung,Thumbedin,Total households,454
Taplejung,Thumbedin,Population Male,1076
Taplejung,Thumbedin,Population Female,1191
Taplejung,Tiringe,Total households,354
Taplejung,Tiringe,Population Male,791
Taplejung,Tiringe,Population Female,912
Taplejung,Yamfudin,Total households,165
Taplejung,Yamfudin,Population Male,367
Taplejung,Yamfudin,Population Female,363
Taplejung,Institutional,Total households,38
Taplejung,Institutional,Population Male,923
Taplejung,Institutional,Population Female,90
Panchthar,Aangna,Total households,673
Panchthar,Aangna,Population Male,1521
Panchthar,Aangna,Population Female,1723
Panchthar,Aangsarang,Total households,1159
Panchthar,Aangsarang,Population Male,2635
Panchthar,Aangsarang,Population Female,3066
Panchthar,Aarubote,Total households,790
Panchthar,Aarubote,Population Male,1688
Panchthar,Aarubote,Population Female,1984
Panchthar,Amarpur,Total households,1334
Panchthar,Amarpur,Population Male,2926
Panchthar,Amarpur,Population Female,3417
Panchthar,Bharapa,Total households,1442
Panchthar,Bharapa,Population Male,3183
Panchthar,Bharapa,Population Female,3710
Panchthar,Chilingdin,Total households,799
Panchthar,Chilingdin,Population Male,1706
Panchthar,Chilingdin,Population Female,1944
Panchthar,Chokmagu,Total households,807
Panchthar,Chokmagu,Population Male,1757
Panchthar,Chokmagu,Population Female,2068
Panchthar,Chyangthapu,Total households,494
Panchthar,Chyangthapu,Population Male,1073
Panchthar,Chyangthapu,Population Female,1199
Panchthar,Durdimba,Total households,685
Panchthar,Durdimba,Population Male,1410
Panchthar,Durdimba,Population Female,1580
Panchthar,Ekteen,Total households,1190
Panchthar,Ekteen,Population Male,2461
Panchthar,Ekteen,Population Female,2810
Panchthar,Embung,Total households,485
Panchthar,Embung,Population Male,1032
Panchthar,Embung,Population Female,1168
Panchthar,Phalaincha,Total households,652
Panchthar,Phalaincha,Population Male,1587
Panchthar,Phalaincha,Population Female,1674
Panchthar,Hangum,Total households,608
Panchthar,Hangum,Population Male,1374
Panchthar,Hangum,Population Female,1537
Panchthar,Kurumba,Total households,843
Panchthar,Kurumba,Population Male,1711
Panchthar,Kurumba,Population Female,2077
Panchthar,Limba,Total households,934
Panchthar,Limba,Population Male,2011
Panchthar,Limba,Population Female,2394
Panchthar,Lungrupa,Total households,1090
Panchthar,Lungrupa,Population Male,2552
Panchthar,Lungrupa,Population Female,2860
Panchthar,Lumphabung,Total households,527
Panchthar,Lumphabung,Population Male,1149
Panchthar,Lumphabung,Population Female,1301
Panchthar,Mangjabung,Total households,771
Panchthar,Mangjabung,Population Male,1685
Panchthar,Mangjabung,Population Female,2007
Panchthar,Mauwa,Total households,971
Panchthar,Mauwa,Population Male,2180
Panchthar,Mauwa,Population Female,2548
Panchthar,Memeng,Total households,984
Panchthar,Memeng,Population Male,2247
Panchthar,Memeng,Population Female,2407
Panchthar,Nagi,Total households,863
Panchthar,Nagi,Population Male,1953
Panchthar,Nagi,Population Female,2188
Panchthar,Nangeen,Total households,1388
Panchthar,Nangeen,Population Male,3114
Panchthar,Nangeen,Population Female,3598
Panchthar,Nawamidanda,Total households,858
Panchthar,Nawamidanda,Population Male,1885
Panchthar,Nawamidanda,Population Female,2243
Panchthar,Olane,Total households,563
Panchthar,Olane,Population Male,1190
Panchthar,Olane,Population Female,1346
Panchthar,Oyam,Total households,766
Panchthar,Oyam,Population Male,1876
Panchthar,Oyam,Population Female,2015
Panchthar,Panchami,Total households,1028
Panchthar,Panchami,Population Male,2247
Panchthar,Panchami,Population Female,2631
Panchthar,Pauwa Sartap,Total households,939
Panchthar,Pauwa Sartap,Population Male,1961
Panchthar,Pauwa Sartap,Population Female,2377
Panchthar,Phaktep,Total households,922
Panchthar,Phaktep,Population Male,1889
Panchthar,Phaktep,Population Female,2154
Panchthar,Phidim,Total households,4291
Panchthar,Phidim,Population Male,8368
Panchthar,Phidim,Population Female,9031
Panchthar,Prangbung,Total households,893
Panchthar,Prangbung,Population Male,2097
Panchthar,Prangbung,Population Female,2293
Panchthar,Rabi,Total households,999
Panchthar,Rabi,Population Male,1932
Panchthar,Rabi,Population Female,2268
Panchthar,Rani Gaun,Total households,1068
Panchthar,Rani Gaun,Population Male,2331
Panchthar,Rani Gaun,Population Female,2654
Panchthar,Ranitar,Total households,1500
Panchthar,Ranitar,Population Male,3345
Panchthar,Ranitar,Population Female,3720
Panchthar,Sarang Danda,Total households,1299
Panchthar,Sarang Danda,Population Male,2550
Panchthar,Sarang Danda,Population Female,3010
Panchthar,Sidin,Total households,885
Panchthar,Sidin,Population Male,2150
Panchthar,Sidin,Population Female,2438
Panchthar,Siwa,Total households,759
Panchthar,Siwa,Population Male,1639
Panchthar,Siwa,Population Female,1905
Panchthar,Subhang,Total households,988
Panchthar,Subhang,Population Male,2290
Panchthar,Subhang,Population Female,2509
Panchthar,Syabrumba,Total households,714
Panchthar,Syabrumba,Population Male,1433
Panchthar,Syabrumba,Population Female,1784
Panchthar,Tharpu,Total households,1036
Panchthar,Tharpu,Population Male,2212
Panchthar,Tharpu,Population Female,2504
Panchthar,Yanganam,Total households,1232
Panchthar,Yanganam,Population Male,2608
Panchthar,Yanganam,Population Female,3167
Panchthar,Yasok,Total households,947
Panchthar,Yasok,Population Male,1952
Panchthar,Yasok,Population Female,2272
Panchthar,Institutional,Total households,20
Panchthar,Institutional,Population Male,1276
Panchthar,Institutional,Population Female,50
Ilam,Amchok,Total households,991
Ilam,Amchok,Population Male,2184
Ilam,Amchok,Population Female,2546
Ilam,Bajho,Total households,1977
Ilam,Bajho,Population Male,4932
Ilam,Bajho,Population Female,5080
Ilam,Barbote,Total households,1414
Ilam,Barbote,Population Male,3227
Ilam,Barbote,Population Female,3197
Ilam,Chamaita,Total households,1230
Ilam,Chamaita,Population Male,2830
Ilam,Chamaita,Population Female,3061
Ilam,Chisapani,Total households,1204
Ilam,Chisapani,Population Male,2625
Ilam,Chisapani,Population Female,2802
Ilam,Chulachuli,Total households,3905
Ilam,Chulachuli,Population Male,8024
Ilam,Chulachuli,Population Female,9300
Ilam,Danabari,Total households,3137
Ilam,Danabari,Population Male,6874
Ilam,Danabari,Population Female,7428
Ilam,Dhuseni,Total households,908
Ilam,Dhuseni,Population Male,2027
Ilam,Dhuseni,Population Female,2245
Ilam,Ebhang,Total households,1061
Ilam,Ebhang,Population Male,2422
Ilam,Ebhang,Population Female,2676
Ilam,Ektappa,Total households,1036
Ilam,Ektappa,Population Male,2278
Ilam,Ektappa,Population Female,2573
Ilam,Erautar,Total households,956
Ilam,Erautar,Population Male,2118
Ilam,Erautar,Population Female,2216
Ilam,Gajurmukhi,Total households,691
Ilam,Gajurmukhi,Population Male,1695
Ilam,Gajurmukhi,Population Female,1698
Ilam,Godak,Total households,1137
Ilam,Godak,Population Male,2451
Ilam,Godak,Population Female,2527
Ilam,Gorkhe,Total households,1122
Ilam,Gorkhe,Population Male,2391
Ilam,Gorkhe,Population Female,2450
Ilam,Ilam Municipality,Total households,4732
Ilam,Ilam Municipality,Population Male,8946
Ilam,Ilam Municipality,Population Female,9687
Ilam,Jamuna,Total households,777
Ilam,Jamuna,Population Male,1523
Ilam,Jamuna,Population Female,1677
Ilam,Jirmale,Total households,1069
Ilam,Jirmale,Population Male,2376
Ilam,Jirmale,Population Female,2342
Ilam,Jitpur,Total households,1440
Ilam,Jitpur,Population Male,3229
Ilam,Jitpur,Population Female,3505
Ilam,Jogmai,Total households,726
Ilam,Jogmai,Population Male,1758
Ilam,Jogmai,Population Female,1664
Ilam,Kanyam,Total households,1715
Ilam,Kanyam,Population Male,3596
Ilam,Kanyam,Population Female,3694
Ilam,Kolbung,Total households,1134
Ilam,Kolbung,Population Male,2423
Ilam,Kolbung,Population Female,2502
Ilam,Laxmipur,Total households,2035
Ilam,Laxmipur,Population Male,4455
Ilam,Laxmipur,Population Female,4748
Ilam,Lumde,Total households,544
Ilam,Lumde,Population Male,1149
Ilam,Lumde,Population Female,1307
Ilam,Mabu,Total households,734
Ilam,Mabu,Population Male,1495
Ilam,Mabu,Population Female,1654
Ilam,Mahamai,Total households,2202
Ilam,Mahamai,Population Male,4874
Ilam,Mahamai,Population Female,5530
Ilam,Maimajhuwa,Total households,758
Ilam,Maimajhuwa,Population Male,1745
Ilam,Maimajhuwa,Population Female,1724
Ilam,Maipokhari,Total households,931
Ilam,Maipokhari,Population Male,2113
Ilam,Maipokhari,Population Female,2235
Ilam,Mangalbare,Total households,1506
Ilam,Mangalbare,Population Male,3210
Ilam,Mangalbare,Population Female,3482
Ilam,Namsaling,Total households,1299
Ilam,Namsaling,Population Male,2778
Ilam,Namsaling,Population Female,2974
Ilam,Naya Bazar,Total households,1090
Ilam,Naya Bazar,Population Male,2355
Ilam,Naya Bazar,Population Female,2388
Ilam,Panchakanya,Total households,1911
Ilam,Panchakanya,Population Male,4127
Ilam,Panchakanya,Population Female,4359
Ilam,Pasupati Nagar,Total households,1980
Ilam,Pasupati Nagar,Population Male,4042
Ilam,Pasupati Nagar,Population Female,4229
Ilam,Phakphok,Total households,1033
Ilam,Phakphok,Population Male,2404
Ilam,Phakphok,Population Female,2643
Ilam,Phikal Bazar,Total households,2691
Ilam,Phikal Bazar,Population Male,5568
Ilam,Phikal Bazar,Population Female,5696
Ilam,Phuyatappa,Total households,840
Ilam,Phuyatappa,Population Male,1667
Ilam,Phuyatappa,Population Female,1971
Ilam,Puwamajhuwa,Total households,634
Ilam,Puwamajhuwa,Population Male,1386
Ilam,Puwamajhuwa,Population Female,1541
Ilam,Pyang,Total households,604
Ilam,Pyang,Population Male,1331
Ilam,Pyang,Population Female,1424
Ilam,Sakfara,Total households,744
Ilam,Sakfara,Population Male,1628
Ilam,Sakfara,Population Female,1868
Ilam,Sakhejung,Total households,932
Ilam,Sakhejung,Population Male,1917
Ilam,Sakhejung,Population Female,2128
Ilam,Samalbung,Total households,1099
Ilam,Samalbung,Population Male,2341
Ilam,Samalbung,Population Female,2311
Ilam,Sangrumba,Total households,1210
Ilam,Sangrumba,Population Male,2725
Ilam,Sangrumba,Population Female,2954
Ilam,Shanti Danda,Total households,1101
Ilam,Shanti Danda,Population Male,2390
Ilam,Shanti Danda,Population Female,2533
Ilam,Shantipur,Total households,1192
Ilam,Shantipur,Population Male,2472
Ilam,Shantipur,Population Female,2686
Ilam,Shree Antu,Total households,1086
Ilam,Shree Antu,Population Male,2276
Ilam,Shree Antu,Population Female,2350
Ilam,Siddhithumka,Total households,778
Ilam,Siddhithumka,Population Male,1753
Ilam,Siddhithumka,Population Female,1837
Ilam,Soyak,Total households,727
Ilam,Soyak,Population Male,1601
Ilam,Soyak,Population Female,1723
Ilam,Soyang,Total households,1064
Ilam,Soyang,Population Male,2404
Ilam,Soyang,Population Female,2485
Ilam,Sulubung,Total households,799
Ilam,Sulubung,Population Male,1721
Ilam,Sulubung,Population Female,1863
Ilam,Sumbek,Total households,591
Ilam,Sumbek,Population Male,1233
Ilam,Sumbek,Population Female,1330
Ilam,Institutional,Total households,25
Ilam,Institutional,Population Male,2037
Ilam,Institutional,Population Female,285
Jhapa,Anarmani,Total households,10235
Jhapa,Anarmani,Population Male,20892
Jhapa,Anarmani,Population Female,21820
Jhapa,Arjundhara,Total households,4560
Jhapa,Arjundhara,Population Male,9466
Jhapa,Arjundhara,Population Female,10637
Jhapa,Bahundangi,Total households,5479
Jhapa,Bahundangi,Population Male,11105
Jhapa,Bahundangi,Population Female,12717
Jhapa,Baigundhura,Total households,1251
Jhapa,Baigundhura,Population Male,2643
Jhapa,Baigundhura,Population Female,2997
Jhapa,Balubadi,Total households,1246
Jhapa,Balubadi,Population Male,2632
Jhapa,Balubadi,Population Female,2903
Jhapa,Baniyani,Total households,1444
Jhapa,Baniyani,Population Male,3043
Jhapa,Baniyani,Population Female,3415
Jhapa,Bhadrapur Municipality,Total households,4248
Jhapa,Bhadrapur Municipality,Population Male,8880
Jhapa,Bhadrapur Municipality,Population Female,9284
Jhapa,Budhabare,Total households,5270
Jhapa,Budhabare,Population Male,10938
Jhapa,Budhabare,Population Female,11998
Jhapa,Chakchaki,Total households,2196
Jhapa,Chakchaki,Population Male,4716
Jhapa,Chakchaki,Population Female,5486
Jhapa,Chandragadhi,Total households,4514
Jhapa,Chandragadhi,Population Male,9013
Jhapa,Chandragadhi,Population Female,9936
Jhapa,Charpane,Total households,4158
Jhapa,Charpane,Population Male,8498
Jhapa,Charpane,Population Female,8964
Jhapa,Damak Municipality,Total households,18104
Jhapa,Damak Municipality,Population Male,35438
Jhapa,Damak Municipality,Population Female,39664
Jhapa,Dangibari,Total households,1758
Jhapa,Dangibari,Population Male,3581
Jhapa,Dangibari,Population Female,4180
Jhapa,Dhaijan,Total households,2204
Jhapa,Dhaijan,Population Male,4544
Jhapa,Dhaijan,Population Female,5276
Jhapa,Dharampur,Total households,3218
Jhapa,Dharampur,Population Male,6367
Jhapa,Dharampur,Population Female,7724
Jhapa,Duwagadhi,Total households,2591
Jhapa,Duwagadhi,Population Male,4994
Jhapa,Duwagadhi,Population Female,5703
Jhapa,Garamani,Total households,4725
Jhapa,Garamani,Population Male,10358
Jhapa,Garamani,Population Female,11346
Jhapa,Gauradaha,Total households,3514
Jhapa,Gauradaha,Population Male,6897
Jhapa,Gauradaha,Population Female,7874
Jhapa,Gauriganj,Total households,2302
Jhapa,Gauriganj,Population Male,5113
Jhapa,Gauriganj,Population Female,5560
Jhapa,Ghailadubba,Total households,2969
Jhapa,Ghailadubba,Population Male,5924
Jhapa,Ghailadubba,Population Female,6747
Jhapa,Gherabari,Total households,1480
Jhapa,Gherabari,Population Male,3312
Jhapa,Gherabari,Population Female,3666
Jhapa,Goldhap,Total households,1701
Jhapa,Goldhap,Population Male,3509
Jhapa,Goldhap,Population Female,4141
Jhapa,Haldibari,Total households,1792
Jhapa,Haldibari,Population Male,3721
Jhapa,Haldibari,Population Female,4199
Jhapa,Jalthal,Total households,2922
Jhapa,Jalthal,Population Male,6090
Jhapa,Jalthal,Population Female,7273
Jhapa,Juropani,Total households,2589
Jhapa,Juropani,Population Male,5630
Jhapa,Juropani,Population Female,6005
Jhapa,Jyamirgadhi,Total households,2076
Jhapa,Jyamirgadhi,Population Male,4765
Jhapa,Jyamirgadhi,Population Female,5088
Jhapa,Kechana,Total households,1284
Jhapa,Kechana,Population Male,2850
Jhapa,Kechana,Population Female,3107
Jhapa,Khajurgachhi,Total households,2036
Jhapa,Khajurgachhi,Population Male,4662
Jhapa,Khajurgachhi,Population Female,4807
Jhapa,Khudunabari,Total households,3457
Jhapa,Khudunabari,Population Male,7011
Jhapa,Khudunabari,Population Female,8020
Jhapa,Kohabara,Total households,2343
Jhapa,Kohabara,Population Male,4855
Jhapa,Kohabara,Population Female,5471
Jhapa,Korobari,Total households,1260
Jhapa,Korobari,Population Male,2913
Jhapa,Korobari,Population Female,3113
Jhapa,Kumarkhod,Total households,1931
Jhapa,Kumarkhod,Population Male,4661
Jhapa,Kumarkhod,Population Female,4924
Jhapa,Lakhanpur,Total households,4695
Jhapa,Lakhanpur,Population Male,9468
Jhapa,Lakhanpur,Population Female,10951
Jhapa,Mahabhara,Total households,1542
Jhapa,Mahabhara,Population Male,3250
Jhapa,Mahabhara,Population Female,3616
Jhapa,Maharanijhoda,Total households,2373
Jhapa,Maharanijhoda,Population Male,4911
Jhapa,Maharanijhoda,Population Female,5750
Jhapa,Maheshpur,Total households,2853
Jhapa,Maheshpur,Population Male,6251
Jhapa,Maheshpur,Population Female,6885
Jhapa,Mechinagar Municipality,Total households,13181
Jhapa,Mechinagar Municipality,Population Male,27588
Jhapa,Mechinagar Municipality,Population Female,29957
Jhapa,Panchgachhi,Total households,2375
Jhapa,Panchgachhi,Population Male,5062
Jhapa,Panchgachhi,Population Female,5754
Jhapa,Pathamari,Total households,955
Jhapa,Pathamari,Population Male,2049
Jhapa,Pathamari,Population Female,2309
Jhapa,Pathariya,Total households,2333
Jhapa,Pathariya,Population Male,4821
Jhapa,Pathariya,Population Female,5431
Jhapa,Prithivinagar,Total households,3655
Jhapa,Prithivinagar,Population Male,6814
Jhapa,Prithivinagar,Population Female,8470
Jhapa,Rajgadh,Total households,3444
Jhapa,Rajgadh,Population Male,7413
Jhapa,Rajgadh,Population Female,8277
Jhapa,Sanischare,Total households,5606
Jhapa,Sanischare,Population Male,11948
Jhapa,Sanischare,Population Female,13123
Jhapa,Satasidham,Total households,6072
Jhapa,Satasidham,Population Male,12058
Jhapa,Satasidham,Population Female,14113
Jhapa,Shantinagar,Total households,4228
Jhapa,Shantinagar,Population Male,8704
Jhapa,Shantinagar,Population Female,9945
Jhapa,Sharanamati,Total households,3092
Jhapa,Sharanamati,Population Male,7043
Jhapa,Sharanamati,Population Female,7718
Jhapa,Shivaganj,Total households,3030
Jhapa,Shivaganj,Population Male,6228
Jhapa,Shivaganj,Population Female,7290
Jhapa,Surunga,Total households,6457
Jhapa,Surunga,Population Male,12612
Jhapa,Surunga,Population Female,14858
Jhapa,Taghandubba,Total households,2075
Jhapa,Taghandubba,Population Male,4999
Jhapa,Taghandubba,Population Female,5256
Jhapa,Topgachhi,Total households,5561
Jhapa,Topgachhi,Population Male,10828
Jhapa,Topgachhi,Population Female,13118
Jhapa,Institutional,Total households,168
Jhapa,Institutional,Population Male,4028
Jhapa,Institutional,Population Female,688
Morang,Amahibariyati,Total households,1432
Morang,Amahibariyati,Population Male,3085
Morang,Amahibariyati,Population Female,3244
Morang,Amardaha,Total households,3116
Morang,Amardaha,Population Male,6617
Morang,Amardaha,Population Female,7386
Morang,Amgachhi,Total households,1179
Morang,Amgachhi,Population Male,2455
Morang,Amgachhi,Population Female,2748
Morang,Babiya Birta,Total households,3262
Morang,Babiya Birta,Population Male,7010
Morang,Babiya Birta,Population Female,7616
Morang,Bahuni,Total households,2810
Morang,Bahuni,Population Male,5649
Morang,Bahuni,Population Female,6531
Morang,Baijanathpur,Total households,1220
Morang,Baijanathpur,Population Male,2824
Morang,Baijanathpur,Population Female,2816
Morang,Banigama,Total households,2121
Morang,Banigama,Population Male,4122
Morang,Banigama,Population Female,4611
Morang,Baradanga,Total households,2230
Morang,Baradanga,Population Male,5741
Morang,Baradanga,Population Female,5564
Morang,Bayarban,Total households,4636
Morang,Bayarban,Population Male,9341
Morang,Bayarban,Population Female,11145
Morang,Belbari,Total households,5724
Morang,Belbari,Population Male,11038
Morang,Belbari,Population Female,13038
Morang,Bhaudaha,Total households,1401
Morang,Bhaudaha,Population Male,3521
Morang,Bhaudaha,Population Female,3455
Morang,Bhogateni,Total households,1113
Morang,Bhogateni,Population Male,2467
Morang,Bhogateni,Population Female,2888
Morang,Biratnagar Sub-Metropolitan City,Total households,45131
Morang,Biratnagar Sub-Metropolitan City,Population Male,101949
Morang,Biratnagar Sub-Metropolitan City,Population Female,99176
Morang,Budhanagar,Total households,2699
Morang,Budhanagar,Population Male,7189
Morang,Budhanagar,Population Female,6977
Morang,Dadarbairiya,Total households,1702
Morang,Dadarbairiya,Population Male,4310
Morang,Dadarbairiya,Population Female,4372
Morang,Dainiya,Total households,2914
Morang,Dainiya,Population Male,7320
Morang,Dainiya,Population Female,7068
Morang,Dangihat,Total households,5013
Morang,Dangihat,Population Male,9906
Morang,Dangihat,Population Female,12159
Morang,Dangraha,Total households,1313
Morang,Dangraha,Population Male,2626
Morang,Dangraha,Population Female,2824
Morang,Drabesh,Total households,3639
Morang,Drabesh,Population Male,7819
Morang,Drabesh,Population Female,8833
Morang,Dulari,Total households,3196
Morang,Dulari,Population Male,6639
Morang,Dulari,Population Female,7391
Morang,Govindapur,Total households,3375
Morang,Govindapur,Population Male,7570
Morang,Govindapur,Population Female,8016
Morang,Haraicha,Total households,1482
Morang,Haraicha,Population Male,3053
Morang,Haraicha,Population Female,3431
Morang,Hasandaha,Total households,2530
Morang,Hasandaha,Population Male,5210
Morang,Hasandaha,Population Female,6114
Morang,Hathimudha,Total households,2206
Morang,Hathimudha,Population Male,5141
Morang,Hathimudha,Population Female,5109
Morang,Hoklabari,Total households,1121
Morang,Hoklabari,Population Male,2281
Morang,Hoklabari,Population Female,2549
Morang,Indrapur,Total households,6343
Morang,Indrapur,Population Male,12622
Morang,Indrapur,Population Female,14500
Morang,Itahara,Total households,3572
Morang,Itahara,Population Male,7011
Morang,Itahara,Population Female,8393
Morang,Jante,Total households,1865
Morang,Jante,Population Male,3601
Morang,Jante,Population Female,4478
Morang,Jhorahat,Total households,1254
Morang,Jhorahat,Population Male,2639
Morang,Jhorahat,Population Female,2748
Morang,Jhurkiya,Total households,2605
Morang,Jhurkiya,Population Male,5509
Morang,Jhurkiya,Population Female,5896
Morang,Kaseni,Total households,1791
Morang,Kaseni,Population Male,3518
Morang,Kaseni,Population Female,4053
Morang,Katahari,Total households,4895
Morang,Katahari,Population Male,12506
Morang,Katahari,Population Female,11889
Morang,Kadmaha,Total households,1517
Morang,Kadmaha,Population Male,4111
Morang,Kadmaha,Population Female,4054
Morang,Kerabari,Total households,4167
Morang,Kerabari,Population Male,7973
Morang,Kerabari,Population Female,9687
Morang,Keroun,Total households,2926
Morang,Keroun,Population Male,5865
Morang,Keroun,Population Female,6852
Morang,Lakhantari,Total households,963
Morang,Lakhantari,Population Male,2204
Morang,Lakhantari,Population Female,2189
Morang,Letang,Total households,4359
Morang,Letang,Population Male,8228
Morang,Letang,Population Female,10324
Morang,Madhumalla,Total households,4927
Morang,Madhumalla,Population Male,9732
Morang,Madhumalla,Population Female,11750
Morang,Mahadewa,Total households,1135
Morang,Mahadewa,Population Male,2587
Morang,Mahadewa,Population Female,2600
Morang,Majhare,Total households,2052
Morang,Majhare,Population Male,5085
Morang,Majhare,Population Female,5173
Morang,Matigachha,Total households,2603
Morang,Matigachha,Population Male,7047
Morang,Matigachha,Population Female,6701
Morang,Motipur,Total households,1209
Morang,Motipur,Population Male,2256
Morang,Motipur,Population Female,2536
Morang,Mrigauliya,Total households,3277
Morang,Mrigauliya,Population Male,6609
Morang,Mrigauliya,Population Female,7508
Morang,Necha,Total households,832
Morang,Necha,Population Male,2076
Morang,Necha,Population Female,2084
Morang,Pathari,Total households,5724
Morang,Pathari,Population Male,11470
Morang,Pathari,Population Female,13701
Morang,Patigaun,Total households,478
Morang,Patigaun,Population Male,1003
Morang,Patigaun,Population Female,1180
Morang,Pokhariya,Total households,682
Morang,Pokhariya,Population Male,1660
Morang,Pokhariya,Population Female,1652
Morang,Rajghat,Total households,2803
