District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Age-Group,Total,Male,Female
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   0 Yrs.,6740,3433,3307
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   1 Yrs.,5157,2573,2584
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   2 Yrs.,7682,3854,3828
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   3 Yrs.,8063,4122,3941
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   4 Yrs.,8747,4475,4272
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   5 Yrs.,8650,4398,4252
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   6 Yrs.,8325,4184,4141
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   7 Yrs.,7503,3707,3796
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   8 Yrs.,8540,4306,4234
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   9 Yrs.,6697,3360,3337
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  10 Yrs.,8783,4373,4410
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  11 Yrs.,6312,3174,3138
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  12 Yrs.,9293,4741,4552
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  13 Yrs.,7006,3410,3596
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  14 Yrs.,7302,3512,3790
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  15 Yrs.,6267,2980,3287
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  16 Yrs.,6477,2894,3583
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  17 Yrs.,4003,1869,2134
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  18 Yrs.,6769,3047,3722
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  19 Yrs.,3610,1618,1992
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  20 Yrs.,5018,2111,2907
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  21 Yrs.,3470,1520,1950
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  22 Yrs.,4340,1890,2450
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  23 Yrs.,3123,1358,1765
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  24 Yrs.,3372,1377,1995
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  25 Yrs.,4841,1992,2849
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  26 Yrs.,3283,1376,1907
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  27 Yrs.,2694,1269,1425
Achham,Seti,Hill,Far-Western,2068/69,2011/12,  28 Yrs.,4185,1850,2335
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   29 Yrs.,1782,823,959
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   30 Yrs.,5095,1909,3186
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   31 Yrs.,1460,698,762
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   32 Yrs.,2991,1303,1688
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   33 Yrs.,1788,801,987
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   34 Yrs.,1925,799,1126
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   35 Yrs.,5146,2108,3038
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   36 Yrs.,2122,996,1126
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   37 Yrs.,1277,616,661
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   38 Yrs.,2729,1212,1517
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   39 Yrs.,1187,525,662
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   40 Yrs.,4864,1757,3107
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   41 Yrs.,1196,581,615
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   42 Yrs.,1879,868,1011
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   43 Yrs.,1201,576,625
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   44 Yrs.,1045,457,588
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   45 Yrs.,3957,1593,2364
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   46 Yrs.,1362,700,662
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   47 Yrs.,968,468,500
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   48 Yrs.,1943,924,1019
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   49 Yrs.,799,366,433
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   50 Yrs.,3498,1442,2056
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   51 Yrs.,832,448,384
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   52 Yrs.,1378,712,666
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   53 Yrs.,803,428,375
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   54 Yrs.,746,354,392
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   55 Yrs.,2581,1175,1406
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   56 Yrs.,950,493,457
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   57 Yrs.,657,345,312
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   58 Yrs.,1264,592,672
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   59 Yrs.,657,328,329
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   60 Yrs.,3520,1351,2169
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   61 Yrs.,1016,463,553
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   62 Yrs.,1260,540,720
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   63 Yrs.,714,290,424
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   64 Yrs.,634,276,358
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   65 Yrs.,3038,1096,1942
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   66 Yrs.,620,289,331
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   67 Yrs.,556,264,292
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   68 Yrs.,1063,520,543
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   69 Yrs.,356,181,175
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   70 Yrs.,2465,949,1516
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   71 Yrs.,590,253,337
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   72 Yrs.,894,379,515
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   73 Yrs.,400,181,219
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   74 Yrs.,236,108,128
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   75 Yrs.,1310,511,799
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   76 Yrs.,296,150,146
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   77 Yrs.,204,110,94
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   78 Yrs.,361,193,168
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   79 Yrs.,123,72,51
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   80 Yrs.,579,211,368
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   81 Yrs.,128,74,54
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   82 Yrs.,147,79,68
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   83 Yrs.,67,37,30
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   84 Yrs.,84,52,32
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   85 Yrs.,175,79,96
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   86 Yrs.,58,26,32
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   87 Yrs.,40,25,15
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   88 Yrs.,51,24,27
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   89 Yrs.,12,4,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   90 Yrs.,62,24,38
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   91 Yrs.,10,4,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   92 Yrs.,12,3,9
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   93 Yrs.,8,5,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   94 Yrs.,6,4,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   95 Yrs.,19,5,14
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   96 Yrs.,5,2,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   97 Yrs.,3,0,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   98 Yrs.,7,1,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   99 Yrs.,6,1,5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,   100 Yrs. and above,8,2,6
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   0 Yrs.,3793,2119,1674
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   1 Yrs.,3731,2010,1721
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   2 Yrs.,4144,2142,2002
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   3 Yrs.,4271,2229,2042
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   4 Yrs.,4855,2535,2320
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   5 Yrs.,4839,2462,2377
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   6 Yrs.,4808,2384,2424
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   7 Yrs.,5299,2673,2626
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   8 Yrs.,5163,2696,2467
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   9 Yrs.,4889,2463,2426
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  10 Yrs.,5818,2940,2878
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  11 Yrs.,5371,2693,2678
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  12 Yrs.,6165,3085,3080
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  13 Yrs.,5636,2735,2901
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  14 Yrs.,5263,2515,2748
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  15 Yrs.,5185,2335,2850
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  16 Yrs.,4595,1994,2601
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  17 Yrs.,4446,1825,2621
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  18 Yrs.,4497,1666,2831
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  19 Yrs.,3142,1036,2106
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  20 Yrs.,3205,1046,2159
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  21 Yrs.,2989,910,2079
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  22 Yrs.,3380,1014,2366
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  23 Yrs.,2683,770,1913
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  24 Yrs.,2635,808,1827
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  25 Yrs.,3208,952,2256
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  26 Yrs.,2515,815,1700
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  27 Yrs.,2472,809,1663
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,  28 Yrs.,2573,824,1749
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   29 Yrs.,1775,614,1161
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   30 Yrs.,2918,909,2009
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   31 Yrs.,1585,579,1006
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   32 Yrs.,2219,694,1525
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   33 Yrs.,1655,579,1076
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   34 Yrs.,1608,574,1034
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   35 Yrs.,3052,932,2120
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   36 Yrs.,1768,637,1131
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   37 Yrs.,1637,588,1049
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   38 Yrs.,1897,680,1217
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   39 Yrs.,1522,536,986
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   40 Yrs.,3089,983,2106
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   41 Yrs.,1487,595,892
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   42 Yrs.,1950,766,1184
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   43 Yrs.,1526,598,928
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   44 Yrs.,1276,534,742
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   45 Yrs.,2614,924,1690
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   46 Yrs.,1383,599,784
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   47 Yrs.,1498,647,851
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   48 Yrs.,1761,712,1049
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   49 Yrs.,1546,628,918
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   50 Yrs.,2719,1125,1594
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   51 Yrs.,1404,660,744
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   52 Yrs.,1725,825,900
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   53 Yrs.,1252,590,662
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   54 Yrs.,1233,603,630
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   55 Yrs.,1923,845,1078
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   56 Yrs.,1464,685,779
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   57 Yrs.,1224,572,652
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   58 Yrs.,1307,639,668
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   59 Yrs.,1067,502,565
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   60 Yrs.,2186,943,1243
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   61 Yrs.,1295,615,680
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   62 Yrs.,1328,643,685
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   63 Yrs.,954,461,493
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   64 Yrs.,947,499,448
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   65 Yrs.,1503,607,896
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   66 Yrs.,787,367,420
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   67 Yrs.,1253,620,633
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   68 Yrs.,1138,571,567
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   69 Yrs.,552,301,251
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   70 Yrs.,1388,654,734
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   71 Yrs.,732,396,336
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   72 Yrs.,818,463,355
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   73 Yrs.,596,334,262
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   74 Yrs.,448,275,173
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   75 Yrs.,806,400,406
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   76 Yrs.,438,228,210
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   77 Yrs.,508,290,218
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   78 Yrs.,595,316,279
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   79 Yrs.,340,181,159
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   80 Yrs.,491,232,259
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   81 Yrs.,291,166,125
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   82 Yrs.,270,154,116
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   83 Yrs.,235,134,101
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   84 Yrs.,227,114,113
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   85 Yrs.,175,90,85
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   86 Yrs.,111,62,49
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   87 Yrs.,114,66,48
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   88 Yrs.,123,75,48
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   89 Yrs.,65,35,30
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   90 Yrs.,77,42,35
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   91 Yrs.,42,28,14
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   92 Yrs.,34,21,13
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   93 Yrs.,27,13,14
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   94 Yrs.,14,9,5
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   95 Yrs.,18,7,11
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   96 Yrs.,10,3,7
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   97 Yrs.,11,3,8
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   98 Yrs.,5,5,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   99 Yrs.,6,3,3
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,   100 Yrs. and above,20,1,19
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   0 Yrs.,5471,2792,2679
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   1 Yrs.,5101,2654,2447
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   2 Yrs.,5363,2791,2572
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   3 Yrs.,5496,2857,2639
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   4 Yrs.,6077,3076,3001
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   5 Yrs.,6562,3375,3187
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   6 Yrs.,6034,3026,3008
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   7 Yrs.,6787,3389,3398
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   8 Yrs.,6819,3551,3268
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   9 Yrs.,6384,3169,3215
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  10 Yrs.,7559,3803,3756
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  11 Yrs.,6844,3366,3478
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  12 Yrs.,8042,4072,3970
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  13 Yrs.,7052,3507,3545
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  14 Yrs.,7181,3478,3703
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  15 Yrs.,7006,3359,3647
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  16 Yrs.,6513,3051,3462
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  17 Yrs.,6457,2895,3562
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  18 Yrs.,6257,2654,3603
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  19 Yrs.,4968,1891,3077
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  20 Yrs.,4727,1774,2953
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  21 Yrs.,4660,1619,3041
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  22 Yrs.,5272,1679,3593
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  23 Yrs.,3901,1248,2653
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  24 Yrs.,4028,1256,2772
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  25 Yrs.,4312,1389,2923
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  26 Yrs.,3582,1150,2432
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  27 Yrs.,3606,1223,2383
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,  28 Yrs.,3870,1247,2623
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   29 Yrs.,2629,897,1732
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   30 Yrs.,4420,1409,3011
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   31 Yrs.,2303,810,1493
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   32 Yrs.,3189,1066,2123
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   33 Yrs.,2244,778,1466
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   34 Yrs.,2305,808,1497
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   35 Yrs.,4199,1344,2855
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   36 Yrs.,2434,865,1569
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   37 Yrs.,2267,834,1433
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   38 Yrs.,2507,922,1585
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   39 Yrs.,2161,802,1359
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   40 Yrs.,4196,1480,2716
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   41 Yrs.,1826,703,1123
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   42 Yrs.,2578,987,1591
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   43 Yrs.,1948,784,1164
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   44 Yrs.,1754,740,1014
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   45 Yrs.,3394,1248,2146
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   46 Yrs.,1851,720,1131
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   47 Yrs.,1952,871,1081
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   48 Yrs.,2206,930,1276
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   49 Yrs.,1860,816,1044
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   50 Yrs.,3633,1497,2136
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   51 Yrs.,1913,888,1025
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   52 Yrs.,2350,1078,1272
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   53 Yrs.,1720,785,935
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   54 Yrs.,1581,756,825
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   55 Yrs.,2605,1141,1464
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   56 Yrs.,1945,892,1053
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   57 Yrs.,1956,944,1012
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   58 Yrs.,1818,848,970
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   59 Yrs.,1521,710,811
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   60 Yrs.,2957,1229,1728
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   61 Yrs.,1634,760,874
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   62 Yrs.,1838,849,989
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   63 Yrs.,1394,659,735
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   64 Yrs.,1267,628,639
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   65 Yrs.,2018,876,1142
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   66 Yrs.,1066,531,535
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   67 Yrs.,1461,754,707
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   68 Yrs.,1564,808,756
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   69 Yrs.,801,433,368
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   70 Yrs.,1778,808,970
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   71 Yrs.,789,453,336
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   72 Yrs.,1071,571,500
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   73 Yrs.,776,422,354
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   74 Yrs.,611,327,284
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   75 Yrs.,1035,489,546
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   76 Yrs.,581,317,264
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   77 Yrs.,580,297,283
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   78 Yrs.,759,407,352
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   79 Yrs.,424,208,216
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   80 Yrs.,611,272,339
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   81 Yrs.,340,166,174
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   82 Yrs.,343,184,159
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   83 Yrs.,285,143,142
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   84 Yrs.,327,164,163
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   85 Yrs.,228,104,124
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   86 Yrs.,161,81,80
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   87 Yrs.,120,67,53
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   88 Yrs.,126,73,53
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   89 Yrs.,77,43,34
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   90 Yrs.,124,65,59
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   91 Yrs.,58,27,31
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   92 Yrs.,46,22,24
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   93 Yrs.,39,15,24
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,   94 Yrs.,31,20,11
