District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Gender,Age-group,Value
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,30-39,192
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,40-49,202
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,50-59,166
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,60-69,146
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,70 years & above,31
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,  Male,10-14,32
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,  Male,15-19,257
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,  Male,20-29,4981
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,  Male,30-39,11213
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,  Male,40-49,13324
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,  Male,50-59,11710
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,  Male,60-69,6821
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,  Male,70 years & above,3439
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,  Female,10-14,32
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,  Female,15-19,223
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,  Female,20-29,2834
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,  Female,30-39,3486
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,  Female,40-49,2282
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,  Female,50-59,1761
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,  Female,60-69,1346
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,  Female,70 years & above,761
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,  Male,10-14,38
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,  Male,15-19,268
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,  Male,20-29,4791
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,  Male,30-39,7043
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,  Male,40-49,6486
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,  Male,50-59,4646
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,  Male,60-69,2564
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,  Male,70 years & above,769
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,  Female,10-14,9
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,  Female,15-19,81
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,  Female,20-29,1011
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,  Female,30-39,936
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,  Female,40-49,670
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,  Female,50-59,482
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,  Female,60-69,534
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,  Female,70 years & above,144
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,  Male,10-14,76
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,  Male,15-19,689
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,  Male,20-29,11333
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,  Male,30-39,29557
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,  Male,40-49,34868
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,  Male,50-59,28555
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,  Male,60-69,19219
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,  Male,70 years & above,10546
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,  Female,10-14,61
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,  Female,15-19,611
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,  Female,20-29,10240
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,  Female,30-39,14570
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,  Female,40-49,9088
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,  Female,50-59,6672
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,  Female,60-69,5535
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,  Female,70 years & above,2932
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Male,10-14,17
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Male,15-19,151
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Male,20-29,2679
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Male,30-39,4409
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Male,40-49,4103
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Male,50-59,2999
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Male,60-69,1832
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Male,70 years & above,483
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,10-14,3
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,15-19,60
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,20-29,501
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,30-39,552
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,40-49,556
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,50-59,422
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,60-69,455
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,70 years & above,81
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,  Male,10-14,236
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,  Male,15-19,1509
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,  Male,20-29,15987
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,  Male,30-39,28668
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,  Male,40-49,26522
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,  Male,50-59,17333
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,  Male,60-69,11749
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,  Male,70 years & above,5347
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,  Female,10-14,157
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,  Female,15-19,898
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,  Female,20-29,8552
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,  Female,30-39,10254
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,  Female,40-49,6965
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,  Female,50-59,3677
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,  Female,60-69,3322
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,  Female,70 years & above,1304
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Male,10-14,36
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Male,15-19,290
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Male,20-29,3370
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Male,30-39,5265
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Male,40-49,4995
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Male,50-59,3757
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Male,60-69,2292
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Male,70 years & above,571
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,10-14,3
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,15-19,52
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,20-29,407
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,30-39,599
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,40-49,514
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,50-59,381
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,60-69,403
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,70 years & above,78
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,  Male,10-14,90
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,  Male,15-19,636
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,  Male,20-29,6697
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,  Male,30-39,14764
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,  Male,40-49,15595
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,  Male,50-59,11132
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,  Male,60-69,7747
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,  Male,70 years & above,3930
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,  Female,10-14,58
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,  Female,15-19,371
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,  Female,20-29,4982
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,  Female,30-39,6748
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,  Female,40-49,4197
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,  Female,50-59,2288
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,  Female,60-69,2050
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,  Female,70 years & above,867
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,  Male,10-14,64
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,  Male,15-19,415
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,  Male,20-29,5983
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,  Male,30-39,15470
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,  Male,40-49,19410
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,  Male,50-59,16006
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,  Male,60-69,12649
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,  Male,70 years & above,6289
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,  Female,10-14,26
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,  Female,15-19,156
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,  Female,20-29,2858
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,  Female,30-39,4342
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,  Female,40-49,2862
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,  Female,50-59,1866
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,  Female,60-69,1874
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,  Female,70 years & above,1051
Kaski,Gandaki,Hill,Western,2068/69,2011/12,  Male,10-14,79
Kaski,Gandaki,Hill,Western,2068/69,2011/12,  Male,15-19,1579
Kaski,Gandaki,Hill,Western,2068/69,2011/12,  Male,20-29,12643
Kaski,Gandaki,Hill,Western,2068/69,2011/12,  Male,30-39,17134
Kaski,Gandaki,Hill,Western,2068/69,2011/12,  Male,40-49,16549
Kaski,Gandaki,Hill,Western,2068/69,2011/12,  Male,50-59,14079
Kaski,Gandaki,Hill,Western,2068/69,2011/12,  Male,60-69,8931
Kaski,Gandaki,Hill,Western,2068/69,2011/12,  Male,70 years & above,6096
Kaski,Gandaki,Hill,Western,2068/69,2011/12,  Female,10-14,70
Kaski,Gandaki,Hill,Western,2068/69,2011/12,  Female,15-19,1020
Kaski,Gandaki,Hill,Western,2068/69,2011/12,  Female,20-29,12021
Kaski,Gandaki,Hill,Western,2068/69,2011/12,  Female,30-39,13974
Kaski,Gandaki,Hill,Western,2068/69,2011/12,  Female,40-49,8819
Kaski,Gandaki,Hill,Western,2068/69,2011/12,  Female,50-59,5433
Kaski,Gandaki,Hill,Western,2068/69,2011/12,  Female,60-69,4279
Kaski,Gandaki,Hill,Western,2068/69,2011/12,  Female,70 years & above,2967
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,  Male,10-14,398
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,  Male,15-19,6983
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,  Male,20-29,71310
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,  Male,30-39,84672
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,  Male,40-49,70318
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,  Male,50-59,43776
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,  Male,60-69,24244
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,  Male,70 years & above,13356
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,  Female,10-14,247
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,  Female,15-19,3944
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,  Female,20-29,38271
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,  Female,30-39,32540
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,  Female,40-49,19081
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,  Female,50-59,11732
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,  Female,60-69,8968
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,  Female,70 years & above,6504
Kavrepalanchok,Bagmati,Hill,Central,2068/69,2011/12,  Male,10-14,30
Kavrepalanchok,Bagmati,Hill,Central,2068/69,2011/12,  Male,15-19,338
Kavrepalanchok,Bagmati,Hill,Central,2068/69,2011/12,  Male,20-29,6184
Kavrepalanchok,Bagmati,Hill,Central,2068/69,2011/12,  Male,30-39,13257
Kavrepalanchok,Bagmati,Hill,Central,2068/69,2011/12,  Male,40-49,15763
Kavrepalanchok,Bagmati,Hill,Central,2068/69,2011/12,  Male,50-59,13091
Kavrepalanchok,Bagmati,Hill,Central,2068/69,2011/12,  Male,60-69,9006
Kavrepalanchok,Bagmati,Hill,Central,2068/69,2011/12,  Male,70 years & above,5881
Kavrepalanchok,Bagmati,Hill,Central,2068/69,2011/12,  Female,10-14,23
Kavrepalanchok,Bagmati,Hill,Central,2068/69,2011/12,  Female,15-19,220
Kavrepalanchok,Bagmati,Hill,Central,2068/69,2011/12,  Female,20-29,2574
Kavrepalanchok,Bagmati,Hill,Central,2068/69,2011/12,  Female,30-39,3999
Kavrepalanchok,Bagmati,Hill,Central,2068/69,2011/12,  Female,40-49,3205
Kavrepalanchok,Bagmati,Hill,Central,2068/69,2011/12,  Female,50-59,2631
Kavrepalanchok,Bagmati,Hill,Central,2068/69,2011/12,  Female,60-69,2597
Kavrepalanchok,Bagmati,Hill,Central,2068/69,2011/12,  Female,70 years & above,1921
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,  Male,10-14,19
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,  Male,15-19,202
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,  Male,20-29,2600
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,  Male,30-39,5062
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,  Male,40-49,7616
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,  Male,50-59,7126
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,  Male,60-69,5166
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,  Male,70 years & above,3502
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,  Female,10-14,13
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,  Female,15-19,179
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,  Female,20-29,2348
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,  Female,30-39,2560
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,  Female,40-49,2185
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,  Female,50-59,1572
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,  Female,60-69,1459
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,  Female,70 years & above,1055
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,  Male,10-14,70
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,  Male,15-19,1346
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,  Male,20-29,13583
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,  Male,30-39,20701
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,  Male,40-49,20525
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,  Male,50-59,13704
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,  Male,60-69,8432
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,  Male,70 years & above,5161
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,  Female,10-14,34
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,  Female,15-19,654
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,  Female,20-29,6157
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,  Female,30-39,6631
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,  Female,40-49,4612
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,  Female,50-59,3154
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,  Female,60-69,2801
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,  Female,70 years & above,2232
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,  Male,10-14,24
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,  Male,15-19,182
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,  Male,20-29,1506
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,  Male,30-39,3639
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,  Male,40-49,5588
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,  Male,50-59,6162
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,  Male,60-69,4610
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,  Male,70 years & above,3260
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,  Female,10-14,42
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,  Female,15-19,270
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,  Female,20-29,3704
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,  Female,30-39,4557
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,  Female,40-49,3216
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,  Female,50-59,2175
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,  Female,60-69,1887
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,  Female,70 years & above,1257
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,  Male,10-14,122
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,  Male,15-19,473
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,  Male,20-29,6106
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,  Male,30-39,18000
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,  Male,40-49,23315
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,  Male,50-59,20540
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,  Male,60-69,15007
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,  Male,70 years & above,6138
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,  Female,10-14,18
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,  Female,15-19,173
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,  Female,20-29,3879
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,  Female,30-39,7187
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,  Female,40-49,4376
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,  Female,50-59,2338
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,  Female,60-69,2469
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,  Female,70 years & above,1175
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,  Male,10-14,49
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,  Male,15-19,511
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,  Male,20-29,8167
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,  Male,30-39,15616
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,  Male,40-49,17008
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,  Male,50-59,13346
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,  Male,60-69,7749
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,  Male,70 years & above,4259
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,  Female,10-14,38
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,  Female,15-19,386
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,  Female,20-29,4272
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,  Female,30-39,5153
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,  Female,40-49,3870
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,  Female,50-59,2621
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,  Female,60-69,1964
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,  Female,70 years & above,1118
Manang,Gandaki,Mountain,Western,2068/69,2011/12,  Male,10-14,1
Manang,Gandaki,Mountain,Western,2068/69,2011/12,  Male,15-19,2
Manang,Gandaki,Mountain,Western,2068/69,2011/12,  Male,20-29,117
Manang,Gandaki,Mountain,Western,2068/69,2011/12,  Male,30-39,234
Manang,Gandaki,Mountain,Western,2068/69,2011/12,  Male,40-49,283
Manang,Gandaki,Mountain,Western,2068/69,2011/12,  Male,50-59,245
Manang,Gandaki,Mountain,Western,2068/69,2011/12,  Male,60-69,148
Manang,Gandaki,Mountain,Western,2068/69,2011/12,  Male,70 years & above,101
Manang,Gandaki,Mountain,Western,2068/69,2011/12,  Female,10-14,1
Manang,Gandaki,Mountain,Western,2068/69,2011/12,  Female,15-19,1
Manang,Gandaki,Mountain,Western,2068/69,2011/12,  Female,20-29,29
Manang,Gandaki,Mountain,Western,2068/69,2011/12,  Female,30-39,42
Manang,Gandaki,Mountain,Western,2068/69,2011/12,  Female,40-49,75
Manang,Gandaki,Mountain,Western,2068/69,2011/12,  Female,50-59,70
Manang,Gandaki,Mountain,Western,2068/69,2011/12,  Female,60-69,69
Manang,Gandaki,Mountain,Western,2068/69,2011/12,  Female,70 years & above,62
Morang,Kosi,Terai,Eastern,2068/69,2011/12,  Male,10-14,126
Morang,Kosi,Terai,Eastern,2068/69,2011/12,  Male,15-19,1312
Morang,Kosi,Terai,Eastern,2068/69,2011/12,  Male,20-29,16057
Morang,Kosi,Terai,Eastern,2068/69,2011/12,  Male,30-39,36463
Morang,Kosi,Terai,Eastern,2068/69,2011/12,  Male,40-49,41332
Morang,Kosi,Terai,Eastern,2068/69,2011/12,  Male,50-59,33362
Morang,Kosi,Terai,Eastern,2068/69,2011/12,  Male,60-69,21148
Morang,Kosi,Terai,Eastern,2068/69,2011/12,  Male,70 years & above,9894
Morang,Kosi,Terai,Eastern,2068/69,2011/12,  Female,10-14,81
Morang,Kosi,Terai,Eastern,2068/69,2011/12,  Female,15-19,798
Morang,Kosi,Terai,Eastern,2068/69,2011/12,  Female,20-29,11215
Morang,Kosi,Terai,Eastern,2068/69,2011/12,  Female,30-39,16233
Morang,Kosi,Terai,Eastern,2068/69,2011/12,  Female,40-49,10913
Morang,Kosi,Terai,Eastern,2068/69,2011/12,  Female,50-59,6955
Morang,Kosi,Terai,Eastern,2068/69,2011/12,  Female,60-69,5443
Morang,Kosi,Terai,Eastern,2068/69,2011/12,  Female,70 years & above,2665
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Male,10-14,23
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Male,15-19,101
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Male,20-29,1321
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Male,30-39,2178
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Male,40-49,2135
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Male,50-59,1563
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Male,60-69,1227
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Male,70 years & above,329
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,10-14,3
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,15-19,10
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,20-29,64
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,30-39,104
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,40-49,148
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,50-59,142
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,60-69,218
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,  Female,70 years & above,53
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,  Male,10-14,4
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,  Male,15-19,7
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,  Male,20-29,240
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,  Male,30-39,522
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,  Male,40-49,655
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,  Male,50-59,551
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,  Male,60-69,371
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,  Male,70 years & above,207
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,  Female,10-14,2
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,  Female,15-19,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,  Female,20-29,98
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,  Female,30-39,143
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,  Female,40-49,141
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,  Female,50-59,170
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,  Female,60-69,141
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,  Female,70 years & above,102
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,  Male,10-14,13
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,  Male,15-19,141
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,  Male,20-29,1464
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,  Male,30-39,2646
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,  Male,40-49,3430
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,  Male,50-59,3474
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,  Male,60-69,2662
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,  Male,70 years & above,1856
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,  Female,10-14,11
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,  Female,15-19,274
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,  Female,20-29,2922
